"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,0,0,0,0,0,0,0,0,0,0,250,0,0
30,92.8791825520941,0,0,0,0,0,0,0,0,0,0,58.4926829877266,42.2693386546614,56.3591182062152
60,120.685986271515,0,0,0,0,0,0,0,0,0,0,32.589524113504,23.7485522061097,72.9760283928898
90,117.24438046877,0,0,0,0,0,0,0,0,0,0,20.6758815494957,14.5736810592672,97.5060757992176
120,117.815098780272,0,0,0,0,0,0,0,0,0,0,13.0793629959835,9.11507559966023,109.990466594705
150,117.719442381737,0,0,0,0,0,0,0,0,0,0,8.30306889354627,5.67732478598194,118.300164774718
180,117.735207186392,0,0,0,0,0,0,0,0,0,0,5.26647406335555,3.56040693446993,123.437911991738
210,117.732624558613,0,0,0,0,0,0,0,0,0,0,3.33766515422979,2.24059297052963,126.689117353663
240,117.733044745081,0,0,0,0,0,0,0,0,0,0,2.11436364493646,1.41327596249596,128.739315655283
270,117.732976925556,0,0,0,0,0,0,0,0,0,0,1.33908355576004,0.892681614442838,130.035257905882
300,117.732987767739,0,0,0,0,0,0,0,0,0,0,0.847957742521803,0.564339623033893,130.854714867051
330,117.732986053107,0,0,0,0,0,0,0,0,0,0,0.53691353541113,0.35695842150261,131.373141990053
360,117.732986320583,0,0,0,0,0,0,0,0,0,0,0.339948032136812,0.22586072521698,131.701204922079
390,117.732986279527,0,0,0,0,0,0,0,0,0,0,0.215232190190877,0.14294060467352,131.908840925612
420,117.732986285692,0,0,0,0,0,0,0,0,0,0,0.136267895311083,0.0904749571324045,132.040270861865
450,117.732986284792,0,0,0,0,0,0,0,0,0,0,0.0862729480732383,0.0572713865722778,132.123469380563
480,117.732986284918,0,0,0,0,0,0,0,0,0,0,0.0546200940051752,0.0362551831572171,132.17613843792
510,117.732986284901,0,0,0,0,0,0,0,0,0,0,0.0345802539230789,0.0229518191936074,132.209481641982
540,117.732986284903,0,0,0,0,0,0,0,0,0,0,0.0218928653808402,0.0145302592977052,132.230590590418
570,117.732986284903,0,0,0,0,0,0,0,0,0,0,0.0138604142397851,0.00919889077537182,132.243954410082
600,117.732986284903,0,0,0,0,0,0,0,0,0,0,0.00877504377630694,0.00582373038604053,132.252414940935
630,117.732986284903,0,0,0,0,0,0,0,0,0,0,0.0055554858193454,0.00368696828576406,132.257771260992
660,117.732986284903,0,0,0,0,0,0,0,0,0,0,0.00351717992918392,0.00233420516681816,132.261162330001
690,117.732986284903,0,0,0,0,0,0,0,0,0,0,0.00222672711113342,0.00147777933416664,132.263309208652
720,117.732986284903,0,0,0,0,0,0,0,0,0,0,0.00140974097775721,0.000935579605436311,132.264668394514
750,117.732986284903,0,0,0,0,0,0,0,0,0,0,0.000892506931851033,0.000592314384288141,132.265528893781
780,117.732986284903,0,0,0,0,0,0,0,0,0,0,0.000565046043549909,0.000374993768804868,132.266073675285
810,117.732986284903,0,0,0,0,0,0,0,0,0,0,0.000357730572541926,0.000237408341247406,132.266418576183
840,117.732986284903,0,0,0,0,0,0,0,0,0,0,0.000226479169322285,0.00015030311853945,132.266636932809
870,117.732986284903,0,0,0,0,0,0,0,0,0,0,0.000143383923738485,9.51568528220406e-05,132.266775174321
900,117.732986284903,0,0,0,0,0,0,0,0,0,0,9.07763367078524e-05,6.0243776209181e-05,132.266862694984
930,117.732986284903,0,0,0,0,0,0,0,0,0,0,5.74704822308915e-05,3.81403195541254e-05,132.266918104295
960,117.732986284903,0,0,0,0,0,0,0,0,0,0,3.63845516488032e-05,2.41466275622245e-05,132.266953183918
990,117.732986284903,0,0,0,0,0,0,0,0,0,0,2.30350528328678e-05,1.52872247134134e-05,132.26697539282
