"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,0,0,0,250,0,0,0,0,0,0,0,0,0
30,0,92.8791825520941,17.0339343664126,17.0339343664126,31.3645869060145,15.1412425729493,0,22.7119124885502,30.2824851458985,10.0941617152995,13.458882287066,0,0,0
60,0,58.3020817272712,24.2743352460085,19.8523550319086,7.81799144412719,5.44491330367263,1.46088003027577,70.9475622638472,22.9499553125751,12.4344763554895,26.5155402688423,0,0,0
90,0,56.1924402693556,18.439704501778,12.2593031099598,2.54090699347019,1.86088763775218,0.753371189410081,93.1167303013629,15.9811063700747,10.1052667609105,38.7503017426771,0,0,0
120,0,55.4150747608672,11.9342893158374,7.64881848969907,0.950107042880836,0.70134541200578,0.312644048531303,104.926963813317,11.1919629950686,7.42314744108966,49.4956506513241,0,0,0
150,0,55.4566317486335,7.54245764972358,4.86082172428315,0.369983332585832,0.274392909445627,0.123950943024587,112.171292839353,7.53811400182452,5.03854471940585,56.6238109677038,0,0,0
180,0,55.442580202927,4.75295496222192,3.09173043572521,0.145992396315557,0.108882492908017,0.0488668457832837,116.732331302795,4.9623043244797,3.31253726886766,61.4018199439329,0,0,0
210,0,55.4445429063032,2.99862759806218,1.96456242576928,0.057982762830347,0.0434137645595475,0.0193527029636727,119.614353169165,3.21759064410971,2.14386524550057,64.4957088177727,0,0,0
240,0,55.4441715857688,1.89402160944445,1.2467227561698,0.0231103673367297,0.0173458341575645,0.00769672677347878,121.436771903112,2.06736533042089,1.37553527587054,66.4872586187418,0,0,0
270,0,55.444233431667,1.19732105809209,0.790495428397577,0.00923080147096715,0.00693848381513539,0.00306998319324053,122.589708656339,1.32093377429885,0.878074128537787,67.7599942558296,0,0,0
300,0,55.4442226741263,0.757306205162646,0.500940837940052,0.00369179712409021,0.00277745388023952,0.00122676675987231,123.319276851744,0.841109009090214,0.558782591865436,68.570665812653,0,0,0
330,0,55.4442245056967,0.479162544527514,0.317336959937138,0.00147770486344671,0.00111232315043824,0.000490774292409944,123.781024621549,0.534435524905187,0.354912042232752,69.0858229989183,0,0,0
360,0,55.4442241928349,0.303242269925299,0.200982587478496,0.000591776103599965,0.000445600127388216,0.000196475550401704,124.073299230292,0.33912319806195,0.225153192091633,69.4127414775498,0,0,0
390,0,55.4442242459364,0.191936337756943,0.127272721577118,0.000237063824420131,0.000178543162410285,7.86913411250751e-05,124.258315034932,0.215008014339816,0.142727882327648,69.6200214648051,0,0,0
420,0,55.4442242369481,0.121496303485857,0.0805886276127105,9.49861300622956e-05,7.1547513092152e-05,3.15257690471321e-05,124.375439162058,0.13624537796694,0.090434441659502,69.751373790857,0,0,0
450,0,55.4442242384624,0.0769118484424392,0.05102556985611,3.80636162401425e-05,2.86734446485094e-05,1.26322341123801e-05,124.449586675045,0.0863065415272241,0.0572834463629152,69.834582311009,0,0,0
480,0,55.4442242382083,0.0486898950453909,0.0323062521694771,1.52543820268733e-05,1.1491766815501e-05,5.06223630997731e-06,124.496527946097,0.0546605377775453,0.0362779253488572,69.887281396968,0,0,0
