"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,225,0,0,0,0,0,0,0,0,0,0,25,0,0
30,234.288208415837,0,0,0,0,0,0,0,0,0,0,8.66722420908343,7.0448897757769,0
60,237.068680512768,0,0,0,0,0,0,0,0,0,0,7.74274752540373,5.18866294584662,0
90,236.724455035953,0,0,0,0,0,0,0,0,0,0,7.83678078152742,5.43878305927064,0
120,236.781513451586,0,0,0,0,0,0,0,0,0,0,7.81129414131403,5.40719637772086,0
150,236.771944990559,0,0,0,0,0,0,0,0,0,0,7.81621362686987,5.41184221855478,0
180,236.773520877,0,0,0,0,0,0,0,0,0,0,7.8152056010212,5.41127369793518,0
210,236.773262489194,0,0,0,0,0,0,0,0,0,0,7.8153931556104,5.41134439223189,0
240,236.773304481524,0,0,0,0,0,0,0,0,0,0,7.81535831766238,5.41133720860914,0
270,236.773297694032,0,0,0,0,0,0,0,0,0,0,7.81536456624091,5.41133774136762,0
300,236.773298777085,0,0,0,0,0,0,0,0,0,0,7.81536346186308,5.4113377613976,0
330,236.773298605376,0,0,0,0,0,0,0,0,0,0,7.81536365319541,5.41133774150122,0
360,236.773298632072,0,0,0,0,0,0,0,0,0,0,7.81536362054987,5.41133774739342,0
390,236.773298627956,0,0,0,0,0,0,0,0,0,0,7.81536362602948,5.41133774601817,0
420,236.77329862857,0,0,0,0,0,0,0,0,0,0,7.81536362512369,5.41133774630716,0
450,236.773298628479,0,0,0,0,0,0,0,0,0,0,7.81536362527093,5.41133774624992,0
480,236.773298628491,0,0,0,0,0,0,0,0,0,0,7.8153636252474,5.41133774626082,0
510,236.77329862849,0,0,0,0,0,0,0,0,0,0,7.81536362525109,5.4113377462588,0
540,236.773298628491,0,0,0,0,0,0,0,0,0,0,7.81536362525053,5.41133774625917,0
570,236.773298628491,0,0,0,0,0,0,0,0,0,0,7.81536362525061,5.4113377462591,0
600,236.773298628491,0,0,0,0,0,0,0,0,0,0,7.81536362525059,5.41133774625911,0
630,236.773298628491,0,0,0,0,0,0,0,0,0,0,7.81536362525059,5.41133774625911,0
660,236.773298628491,0,0,0,0,0,0,0,0,0,0,7.81536362525059,5.41133774625911,0
690,236.773298628491,0,0,0,0,0,0,0,0,0,0,7.81536362525059,5.41133774625911,0
720,236.773298628491,0,0,0,0,0,0,0,0,0,0,7.81536362525059,5.41133774625911,0
750,236.773298628491,0,0,0,0,0,0,0,0,0,0,7.81536362525059,5.41133774625911,0
780,236.773298628491,0,0,0,0,0,0,0,0,0,0,7.81536362525059,5.41133774625911,0
810,236.773298628491,0,0,0,0,0,0,0,0,0,0,7.81536362525059,5.41133774625911,0
840,236.773298628491,0,0,0,0,0,0,0,0,0,0,7.81536362525059,5.41133774625911,0
870,236.773298628491,0,0,0,0,0,0,0,0,0,0,7.81536362525059,5.41133774625911,0
900,236.773298628491,0,0,0,0,0,0,0,0,0,0,7.81536362525059,5.41133774625911,0
930,236.773298628491,0,0,0,0,0,0,0,0,0,0,7.81536362525059,5.41133774625911,0
960,236.773298628491,0,0,0,0,0,0,0,0,0,0,7.81536362525059,5.41133774625911,0
990,236.773298628491,0,0,0,0,0,0,0,0,0,0,7.81536362525059,5.41133774625911,0
