"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,100,0,0,150,0,0,0,0,0,0,0,0,0
30,0,135.539315060936,47.3164195123111,27.1280960817121,24.8752491727884,15.1412425729493,0,0,0,0,0,0,0,0
60,0,116.821512631393,63.3974988385868,41.9665982836261,14.1189223377195,9.98066524003264,3.71489365266025,0,0,0,0,0,0,0
90,0,116.931007925756,67.534507928916,40.3238623920605,12.2705086917723,8.82193846317995,4.11819347506663,0,0,0,0,0,0,0
120,0,116.431882443048,68.1916037596373,40.1487672151153,12.2786987673544,8.6666325028231,4.28241928264232,0,0,0,0,0,0,0
150,0,116.481515483677,68.2438303297733,40.0858407980366,12.2700081513271,8.61932351796922,4.29948255520093,0,0,0,0,0,0,0
180,0,116.47025420294,68.2591888437173,40.0776091551257,12.2732888275891,8.61704143239415,4.30261771419013,0,0,0,0,0,0,0
210,0,116.472026578661,68.2595609745761,40.0763633010933,12.2732700347821,8.61581037202412,4.30296877589996,0,0,0,0,0,0,0
240,0,116.471708047538,68.2599211870281,40.0761783882901,12.2733685295695,8.61579824330892,4.30302561206082,0,0,0,0,0,0,0
270,0,116.471762117717,68.2599148654743,40.076156104101,12.2733655985601,8.61576972428614,4.30303159150198,0,0,0,0,0,0,0
300,0,116.471752781119,68.2599234020095,40.0761525818893,12.2733681626989,8.61577036493924,4.30303270769006,0,0,0,0,0,0,0
330,0,116.471754375042,68.2599229499698,40.0761521824483,12.2733679962218,8.61576970072527,4.30303279566549,0,0,0,0,0,0,0
360,0,116.471754103031,68.2599231599229,40.076152118047,12.2733680629815,8.61576973698521,4.30303281904789,0,0,0,0,0,0,0
390,0,116.471754149211,68.2599231422212,40.0761521110429,12.2733680566411,8.61576972080749,4.30303282007958,0,0,0,0,0,0,0
420,0,116.471754141394,68.2599231476182,40.0761521098259,12.2733680584019,8.61576972217478,4.30303282058577,0,0,0,0,0,0,0
450,0,116.471754142711,68.2599231470248,40.0761521097147,12.2733680581957,8.61576972176333,4.30303282059085,0,0,0,0,0,0,0
480,0,116.47175414249,68.2599231471681,40.0761521096895,12.2733680582425,8.61576972180806,4.30303282060203,0,0,0,0,0,0,0
510,0,116.471754142527,68.2599231471496,40.0761521096882,12.2733680582363,8.61576972179733,4.30303282060179,0,0,0,0,0,0,0
540,0,116.471754142521,68.2599231471535,40.0761521096876,12.2733680582376,8.61576972179868,4.30303282060204,0,0,0,0,0,0,0
570,0,116.471754142522,68.259923147153,40.0761521096876,12.2733680582374,8.6157697217984,4.30303282060203,0,0,0,0,0,0,0
600,0,116.471754142522,68.2599231471531,40.0761521096876,12.2733680582374,8.61576972179844,4.30303282060203,0,0,0,0,0,0,0
630,0,116.471754142522,68.2599231471531,40.0761521096876,12.2733680582374,8.61576972179844,4.30303282060203,0,0,0,0,0,0,0
660,0,116.471754142522,68.2599231471531,40.0761521096876,12.2733680582374,8.61576972179844,4.30303282060203,0,0,0,0,0,0,0
690,0,116.471754142522,68.2599231471531,40.0761521096876,12.2733680582374,8.61576972179844,4.30303282060203,0,0,0,0,0,0,0
720,0,116.471754142522,68.2599231471531,40.0761521096876,12.2733680582374,8.61576972179844,4.30303282060203,0,0,0,0,0,0,0
750,0,116.471754142522,68.2599231471531,40.0761521096876,12.2733680582374,8.61576972179844,4.30303282060203,0,0,0,0,0,0,0
780,0,116.471754142522,68.2599231471531,40.0761521096876,12.2733680582374,8.61576972179844,4.30303282060203,0,0,0,0,0,0,0
810,0,116.471754142522,68.2599231471531,40.0761521096876,12.2733680582374,8.61576972179844,4.30303282060203,0,0,0,0,0,0,0
840,0,116.471754142522,68.2599231471531,40.0761521096876,12.2733680582374,8.61576972179844,4.30303282060203,0,0,0,0,0,0,0
870,0,116.471754142522,68.2599231471531,40.0761521096876,12.2733680582374,8.61576972179844,4.30303282060203,0,0,0,0,0,0,0
900,0,116.471754142522,68.2599231471531,40.0761521096876,12.2733680582374,8.61576972179844,4.30303282060203,0,0,0,0,0,0,0
930,0,116.471754142522,68.2599231471531,40.0761521096876,12.2733680582374,8.61576972179844,4.30303282060203,0,0,0,0,0,0,0
960,0,116.471754142522,68.2599231471531,40.0761521096876,12.2733680582374,8.61576972179844,4.30303282060203,0,0,0,0,0,0,0
990,0,116.471754142522,68.2599231471531,40.0761521096876,12.2733680582374,8.61576972179844,4.30303282060203,0,0,0,0,0,0,0
