"Time","AA","Aa","aa"
0,250,0,0
2,250.000074905797,0,0
3,250.000143070072,0,0
4,250.000205099562,0,0
5,250.000261546398,0,0
6,250.000312913019,0,0
7,250.000359656643,0,0
8,250.000402193342,0,0
9,250.000440901738,0,0
10,250.000476126378,0,0
11,250.000508180801,0,0
12,250.000584105752,0,0
13,250.000718330116,0,0
14,250.000912608021,0,0
15,250.001163999093,0,0
16,250.001468040205,0,0
17,250.001276699806,0,0
18,250.00113638562,0,0
19,250.001022974169,0,0
20,250.000926040857,0,0
21,250.000840738115,0,0
22,250.000764162707,0,0
23,250.00069381155,0,0
24,250.00062757196,0,0
25,250.000562586817,0,1000
26,250.000495478709,0,910.000000000001
27,250.000430900518,0,828.1
28,250.000375746444,0,753.571
29,250.000337250028,0,685.749610000001
30,250.000322400697,0,624.0321451
31,250.00033779114,0,567.869252041
32,250.000340706078,0,516.76101935731
33,250.000337771248,0,470.252527615153
34,250.000331725565,0,427.929800129788
35,246.168408971339,0,389.416118118108
36,239.074173091374,0,354.368667487478
37,229.699024952657,0,322.475487413605
38,218.88189981854,0,293.45269354638
39,207.256742187586,0,267.041951127206
40,194.802381786954,5.82467883701726,264.383100272662
41,183.083034352947,8.46475076641323,260.182878480476
42,172.286300786528,9.87349349243034,255.420081225363
43,162.410794934181,10.7869150410596,250.372476124009
44,153.410277684536,11.4949960641177,245.131402889967
45,145.232920216265,12.1169538456653,239.740704697377
46,137.832870014899,12.7055727693461,234.237017065006
47,131.170739351613,13.2842647407514,228.653044681052
48,125.218245449524,13.8697138179241,223.030719847406
49,119.956771068237,14.4750254831707,217.415799964942
50,115.273828363942,14.9652439450809,211.780775279358
51,111.050001840627,15.2718226301558,206.086741272998
52,107.176206919527,15.3768910893316,200.296946474738
53,103.5573015541,15.2877141232387,194.380085188635
54,100.112387997728,15.0219720237963,188.311756808525
55,96.8237894396186,15.2545273170016,182.844743986864
56,93.6392429684062,15.5664314929204,177.840869187387
57,90.5450014620724,15.8559583913056,173.239076783884
58,87.5388404915033,16.1062120524955,169.000481480318
59,84.6219214650397,16.3201334358902,165.092390923623
60,81.7966845227102,16.5043362706923,161.484639509942
61,79.0665448207966,16.6662258629474,158.14958996401
62,76.435750366207,16.8133018760787,155.062137966684
63,73.9099171482614,16.9546547520743,152.201351252887
64,71.4963767041676,17.1013603769734,149.551448361243
65,69.1980392219688,17.2505275912257,147.091170323138
66,67.0139341652598,17.3930376880366,144.794607233871
67,64.9400583484282,17.5180096668876,142.632494664818
68,62.9699203482078,17.6142763416449,140.57292243235
69,61.0948942386517,17.6707179379351,138.581746034866
70,59.3149586292086,17.727482815553,136.681111180605
71,57.6230917452222,17.7824995927991,134.876804141859
72,56.0111868401297,17.8301838153743,133.170851721865
73,54.4715301382897,17.8673218534368,131.564365689142
74,52.9970909730425,17.8925548362969,130.057892131456
75,51.5815748381348,17.9055152454508,128.651371123112
76,50.2194737770444,17.9064801246105,127.344211141888
77,48.9061102611338,17.8962519818903,126.135412951208
78,47.637751724047,17.8764058407366,125.023979390004
79,46.4117499829999,17.8495876250974,124.009484963584
80,45.2260700103359,17.817769970413,123.091050730292
81,44.0789848211029,17.7818161732238,122.26666165633
82,42.9688827023221,17.7415301784998,121.532720046643
83,41.8941156337088,17.6957356290917,120.883664303125
84,40.8528620900196,17.642293100476,120.311590751348
85,39.8442032744629,17.5834789276469,119.811907144315
86,38.8671203278456,17.5205124650929,119.380721088732
87,37.9203945279278,17.4537429569031,119.014527626326
88,37.0026550341159,17.3831776501994,118.710242925879
89,36.1124233799791,17.3087074899395,118.46519734099
90,35.2481466581219,17.2301723470507,118.277080918629
91,34.4082315242351,17.1473981035208,118.143889256145
92,33.591081909864,17.0602357213592,118.063884443484
93,32.795151136703,16.9686506640634,118.035623192528
94,32.0190095986539,16.8728552067199,118.058075274346
95,31.2613571635115,16.7731905845337,118.130564734614
96,30.5210145192691,16.6699958175329,118.252629851448
97,29.7969074038616,16.5635123177333,118.423842083821
98,29.0880453254686,16.4538061413202,118.643584932223
99,28.3934939040242,16.3406905404789,118.910784810675
100,27.7124738702735,16.2242845981324,119.224358350434
101,27.0443253656701,16.1047874144737,119.583201175587
102,26.3884741622704,15.9823690998242,119.986171974274
103,25.7444100461682,15.8571534043139,120.432105547787
104,25.11167128371,15.7292210143553,120.919831621014
105,24.489832093418,15.598611444973,121.448187552139
106,23.8784930014199,15.4653250664601,122.01602558876
107,23.2772743639854,15.329328041356,122.622217515123
