"Time","WW","WM","WR","MM","MR","RR"
0,250,0,0,0,0,0
2,250.000074905797,0,0,50,0,0
3,250.000143070071,0,0,45.5,0,0
4,250.000205099561,0,0,41.405,0,0
5,250.000261546398,0,0,37.67855,0,0
6,250.000312913019,0,0,34.2874805,0,0
7,250.000359656643,0,0,31.201607255,0,0
8,250.000402193343,0,0,28.39346260205,0,0
9,250.000440901738,0,0,25.8380509678655,0,0
10,250.000476126379,0,0,23.5126263807576,0,0
11,250.0005081808,0,0,21.3964900064894,0,0
12,249.635031563688,0,0,19.4708059059054,0,0
13,248.839042098605,0,0,17.7184333743739,0,0
14,247.647389050987,0,0,16.1237743706803,0,0
15,246.123513868436,0,0,14.6726346773191,0,0
16,244.333989597325,0,0,13.3520975563603,0,0
17,242.039513754791,3.63251888828629,0,12.8169256370672,0,0
18,239.699042526096,6.88783781039087,0,12.2698577593438,0,0
19,237.480502188926,9.80490985426446,0,11.7208146024595,0,0
20,235.447607706768,12.4060786933285,0,11.1752853099578,0,0
21,233.623096243242,14.7081795348866,0,10.6369033365891,0,0
22,232.014731561864,16.7269378020563,0,10.1084168982702,0,0
23,230.625895039912,18.478513667579,0,9.59205068508499,0,0
24,229.456226523693,19.9792805318708,0,9.08957564056182,0,0
25,228.508696418254,21.2466491577983,0,8.60248002612153,0,0
