Time,Patch,WWWW,WWWM,WWWR,WWMM,WWMR,WWRR,WMWW,WMWM,WMWR,WMMM,WMMR,WMRR,WRWW,WRWM,WRWR,WRMM,WRMR,WRRR,MMWW,MMWM,MMWR,MMMM,MMMR,MMRR,MRWW,MRWM,MRWR,MRMM,MRMR,MRRR,RRWW,RRWM,RRWR,RRMM,RRMR,RRRR
0,1,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,249.134687658737,0,0,0.865387247059403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.61538472619197,0,0,0.384615273808025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,248.422403050456,0,0,1.57774001961524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7500001008347,0,0,0.349999899165303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,247.843065325275,0,0,2.15713977428656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96250009175957,0,0,0.318499908240426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,247.378894033856,0,0,2.62136751254221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.24587508350121,0,0,0.289834916498787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,247.014169683335,0,0,2.98614322968385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5937463259861,0,0,0.263749774013896,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,246.735016902438,0,0,3.26534275420576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00030915664735,0,0,0.240012294352646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,246.529208358524,0,0,3.47119383481854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46028133254909,0,0,0.218411187860908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,246.385987684093,0,0,3.61445321764494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96885601261967,0,0,0.198754180953426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,246.29590978338,0,0,3.70456634299775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5216589714839,0,0,0.180866304667618,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,246.250697000258,0,0,3.7498111805427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11470966405035,0,0,0.164588337247532,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,246.167690778555,0,0,3.75635809953859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74438579428582,0,0,0.149775386895254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,246.024109077883,0,0,3.73059988727062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4073910728001,0,0,0.136295602074681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,245.819525089965,0,0,3.67838869645426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10072587624809,0,0,0.12402899788796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
