Time,Patch,WW,WM,WR,MM,MR,RR
0,1,250,0,0,0,0,0
2,1,250.000074905797,0,0,10,0,0
3,1,250.000143070072,0,0,9.1,0,0
4,1,250.000205099562,0,0,8.281,0,0
5,1,250.000261546398,0,0,7.53571,0,0
6,1,250.000312913019,0,0,6.8574961,0,0
7,1,250.000359656643,0,0,6.240321451,0,0
8,1,250.000402193342,0,0,5.67869252041,0,0
9,1,250.000440901738,0,0,5.1676101935731,0,0
10,1,250.000476126378,0,0,4.70252527615152,0,0
11,1,250.000508180801,0,0,4.27929800129789,0,0
12,1,249.924048878093,0,0,3.89416118118108,0,0
13,1,249.754708965153,0,0,3.54368667487478,0,0
14,1,249.497913786419,0,0,3.22475487413605,0,0
15,1,249.166073404552,0,0,2.93452693546381,0,0
16,1,248.772913874125,0,0,2.67041951127206,0,0
17,1,248.254905289306,0.9201077891071,0,2.46384716014793,0,0
18,1,247.719982361376,1.74392947616345,0,2.27282602023046,0,0
19,1,247.211078514438,2.47651213885599,0,2.09626844891031,0,0
20,1,246.745320768184,3.12249769257603,0,1.93312604279569,0,0
21,1,246.329077101933,3.68658148181694,0,1.78241189801894,0,0
22,1,245.964572831325,4.17363758918263,0,1.64320582183393,0,0
23,1,245.652698981489,4.58870308364244,0,1.51465298065013,0,0
24,1,245.393221109222,4.93687915621139,0,1.39595953604536,0,0
25,1,245.18668754648,5.22330867515807,0,1.28638981853243,0,0
