"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,0,0,0,0,0,0,0,0
2,0,22.5000749057966,100,0,0,0,0,0,0
3,0,42.9751430700715,91,0,0,0,0,0,0
4,0,61.6074550995617,82.81,0,0,0,0,0,0
5,0,78.5628590463977,75.3571,0,0,0,0,0,0
6,0,93.9922766380185,68.574961,0,0,0,0,0,0
7,0,108.033046646393,62.40321451,0,0,0,0,0,0
8,0,120.810147354015,56.7869252041,0,0,0,0,0,0
9,0,132.43730899795,51.676101935731,0,0,0,0,0,0
10,0,143.018026093931,47.0252527615152,0,0,0,0,0,0
11,0,152.646478651274,42.7929800129789,0,0,0,0,0,0
12,0,164.304267683467,38.9416118118108,0,0,0,0,0,0
13,0,181.249171095434,35.4368667487478,0,0,0,0,0,0
14,0,208.227136444456,32.2475487413605,0,0,0,0,0,0
15,0,253.614716077705,29.345269354638,0,0,0,0,0,0
16,0,335.321765953994,26.7041951127206,0,0,0,0,0,0
17,0,305.142807018134,24.3008175525758,0,0,0,0,0,0
18,0,277.679954386502,22.1137439728439,0,0,0,0,0,0
19,0,252.688758491717,20.123507015288,0,0,0,0,0,0
20,0,229.946770227462,18.3123913839121,0,0,0,0,0,0
21,0,209.251560906991,16.66427615936,0,0,0,0,0,0
22,0,190.418920425362,15.1644913050176,0,0,0,0,0,0
23,0,173.281217587079,13.799687087566,0,0,0,0,0,0
24,0,157.685908004242,12.5577152496851,0,0,0,0,0,0
25,0,143.49417628386,11.4275208772134,0,0,0,0,0,0
26,0,130.579700418313,10.3990439982642,0,0,0,0,0,0
27,0,118.827527380665,9.46313003842043,0,0,0,0,0,0
28,0,108.133049916405,8.61144833496259,0,0,0,0,0,0
29,0,98.4010754239284,7.83641798481595,0,0,0,0,0,0
30,0,89.5449786357749,7.13114036618252,0,0,0,0,0,0
31,0,81.4859305585552,6.48933773322609,0,0,0,0,0,0
32,0,74.1521968082852,5.90529733723574,0,0,0,0,0,0
33,0,67.4784990955395,5.37382057688453,0,0,0,0,0,0
34,0,61.405434176941,4.89017672496492,0,0,0,0,0,0
35,0,55.8789451010163,4.45006081971808,0,0,0,0,0,0
36,0,50.8498400419248,4.04955534594345,0,0,0,0,0,0
37,0,46.2733544381516,3.68509536480854,0,0,0,0,0,0
38,0,42.108752538718,3.35343678197577,0,0,0,0,0,0
39,0,38.3189648102333,3.05162747159795,0,0,0,0,0,0
40,0,34.8702579773123,2.77698099915414,0,0,0,0,0,0
41,0,31.7319347593542,2.52705270923026,0,0,0,0,0,0
42,0,28.8760606310124,2.29961796539954,0,0,0,0,0,0
43,0,26.2772151742212,2.09265234851358,0,0,0,0,0,0
44,0,23.9122658085413,1.90431363714736,0,0,0,0,0,0
45,0,21.7601618857726,1.7329254098041,0,0,0,0,0,0
46,0,19.8017473160531,1.57696212292173,0,0,0,0,0,0
47,0,18.0195900576083,1.43503553185877,0,0,0,0,0,0
48,0,16.3978269524236,1.30588233399148,0,0,0,0,0,0
49,0,14.9220225267054,1.18835292393225,0,0,0,0,0,0
50,0,13.5790404993019,1.08140116077835,0,0,0,0,0,0
51,0,12.3569268543648,0.984075056308296,0,0,0,0,0,0
52,0,11.2448034374719,0.89550830124055,0,0,0,0,0,0
53,0,10.2327711280995,0.8149125541289,0,0,0,0,0,0
54,0,9.31182172657051,0.741570424257299,0,0,0,0,0,0
55,0,8.47375777117917,0.674829086074142,0,0,0,0,0,0
56,0,7.71111957177304,0.61409446832747,0,0,0,0,0,0
57,0,7.01711881031347,0.558825966177997,0,0,0,0,0,0
58,0,6.38557811738526,0.508531629221978,0,0,0,0,0,0
59,0,5.81087608682058,0.462763782592,0,0,0,0,0,0
60,0,5.28789723900673,0.42111504215872,0,0,0,0,0,0
61,0,4.81198648749613,0.383214688364435,0,0,0,0,0,0
62,0,4.37890770362148,0.348725366411636,0,0,0,0,0,0
63,0,3.98480601029554,0.317340083434589,0,0,0,0,0,0
64,0,3.62617346936894,0.288779475925476,0,0,0,0,0,0
65,0,3.29981785712574,0.262789323092183,0,0,0,0,0,0
66,0,3.00283424998442,0.239138284013886,0,0,0,0,0,0
67,0,2.73257916748583,0.217615838452637,0,0,0,0,0,0
