"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,0,0,0,0,0,0,0,0
2,22.5000749057966,0,600,0,0,0,0,0,0
3,42.9751430700715,0,546,0,0,0,0,0,0
4,61.6074550995616,0,496.86,0,0,0,0,0,0
5,78.5628590463977,0,452.1426,0,0,0,0,0,0
6,93.9922766380185,0,411.449766,0,0,0,0,0,0
7,108.033046646394,0,374.41928706,0,0,0,0,0,0
8,120.810147354015,0,340.7215512246,0,0,0,0,0,0
9,132.43730899795,0,310.056611614386,0,0,0,0,0,0
10,143.018026093931,0,282.151516569091,0,0,0,0,0,0
11,152.646478651274,0,256.757880077873,0,0,0,0,0,0
12,164.304267683466,0,233.649670870865,0,0,0,0,0,0
13,181.249171095435,0,212.621200492486,0,0,0,0,0,0
14,208.227136444456,0,193.485292448163,0,0,0,0,0,0
15,253.614716077705,0,176.071616127828,0,0,0,0,0,0
16,335.321765953993,0,160.225170676324,0,0,0,0,0,0
17,305.142807018135,0,145.804905315455,0,0,0,0,0,0
18,277.679954386502,0,132.682463837064,0,0,0,0,0,0
19,252.688758491717,0,120.741042091728,0,0,0,0,0,0
20,229.946770227462,0,109.874348303473,0,0,0,0,0,0
21,209.251560906991,0,99.9856569561599,0,0,0,0,0,0
22,190.418920425362,0,90.9869478301056,0,0,0,0,0,0
23,173.281217587079,0,82.7981225253961,0,0,0,0,0,0
24,157.685908004242,0,75.3462914981104,0,0,0,0,0,0
25,143.49417628386,0,68.5651252632804,0,0,0,0,0,0
26,130.579700418313,0,62.3942639895852,0,0,0,0,0,0
27,118.827527380665,0,56.7787802305226,0,0,0,0,0,0
28,108.133049916405,0,51.6686900097756,0,0,0,0,0,0
29,98.4010754239285,0,47.0185079088957,0,0,0,0,0,0
30,89.5449786357749,0,42.7868421970951,0,0,0,0,0,0
31,81.4859305585552,0,38.9360263993566,0,0,0,0,0,0
32,74.1521968082852,0,35.4317840234145,0,0,0,0,0,0
33,67.4784990955395,0,32.2429234613072,0,0,0,0,0,0
34,61.405434176941,0,29.3410603497895,0,0,0,0,0,0
35,55.8789451010163,0,26.7003649183084,0,0,0,0,0,0
36,50.8498400419248,0,24.2973320756607,0,0,0,0,0,0
37,46.2733544381516,0,22.1105721888512,0,0,0,0,0,0
38,42.108752538718,0,20.1206206918546,0,0,0,0,0,0
39,38.3189648102333,0,18.3097648295877,0,0,0,0,0,0
40,34.8702579773124,0,16.6618859949248,0,0,0,0,0,0
41,31.7319347593542,0,15.1623162553816,0,0,0,0,0,0
42,28.8760606310123,0,13.7977077923973,0,0,0,0,0,0
43,26.2772151742213,0,12.5559140910815,0,0,0,0,0,0
44,23.9122658085413,0,11.4258818228842,0,0,0,0,0,0
45,21.7601618857726,0,10.3975524588246,0,0,0,0,0,0
46,19.8017473160531,0,9.46177273753037,0,0,0,0,0,0
47,18.0195900576083,0,8.61021319115265,0,0,0,0,0,0
48,16.3978269524236,0,7.8352940039489,0,0,0,0,0,0
49,14.9220225267054,0,7.1301175435935,0,0,0,0,0,0
50,13.579040499302,0,6.48840696467009,0,0,0,0,0,0
51,12.3569268543648,0,5.90445033784978,0,0,0,0,0,0
52,11.2448034374719,0,5.3730498074433,0,0,0,0,0,0
53,10.2327711280995,0,4.8894753247734,0,0,0,0,0,0
54,9.31182172657051,0,4.44942254554379,0,0,0,0,0,0
55,8.47375777117917,0,4.04897451644485,0,0,0,0,0,0
56,7.71111957177304,0,3.68456680996482,0,0,0,0,0,0
57,7.01711881031347,0,3.35295579706799,0,0,0,0,0,0
58,6.38557811738526,0,3.05118977533187,0,0,0,0,0,0
59,5.81087608682059,0,2.776582695552,0,0,0,0,0,0
60,5.28789723900674,0,2.52669025295232,0,0,0,0,0,0
61,4.81198648749613,0,2.29928813018661,0,0,0,0,0,0
62,4.37890770362148,0,2.09235219846981,0,0,0,0,0,0
63,3.98480601029554,0,1.90404050060753,0,0,0,0,0,0
64,3.62617346936895,0,1.73267685555286,0,0,0,0,0,0
65,3.29981785712574,0,1.5767359385531,0,0,0,0,0,0
66,3.00283424998442,0,1.43482970408332,0,0,0,0,0,0
67,2.73257916748583,0,1.30569503071582,0,0,0,0,0,0
68,2.4866470424121,0,1.1881824779514,0,0,0,0,0,0
69,2.26284880859501,0,1.08124605493577,0,0,0,0,0,0
70,2.05919241582146,0,0.983933909991551,0,0,0,0,0,0
71,1.87386509839753,0,0.895379858092312,0,0,0,0,0,0
72,1.70521723954175,0,0.814795670864004,0,0,0,0,0,0
73,1.55174768798299,0,0.741464060486244,0,0,0,0,0,0
74,1.41209039606452,0,0.674732295042481,0,0,0,0,0,0
75,1.28500226041872,0,0.614006388488659,0,0,0,0,0,0
76,1.16935205698103,0,0.558745813524679,0,0,0,0,0,0
77,1.06411037185274,0,0.508458690307458,0,0,0,0,0,0
78,0.968340438385994,0,0.462697408179786,0,0,0,0,0,0
79,0.881189798931254,0,0.421054641443606,0,0,0,0,0,0
80,0.801882717027441,0,0.383159723713681,0,0,0,0,0,0
81,0.729713272494971,0,0.348675348579451,0,0,0,0,0,0
82,0.664039077970424,0,0.317294567207299,0,0,0,0,0,0
83,0.604275560953086,0,0.288738056158642,0,0,0,0,0,0
84,0.549890760467308,0,0.262751631104364,0,0,0,0,0,0
85,0.500400592025251,0,0.239103984304972,0,0,0,0,0,0
86,0.455364538742978,0,0.217584625717524,0,0,0,0,0,0
87,0.41438173025611,0,0.198002009402948,0,0,0,0,0,0
88,0.37708737453306,0,0.180181828556682,0,0,0,0,0,0
89,0.343149510825085,0,0.163965463986581,0,0,0,0,0,0
90,0.312266054850827,0,0.149208572227789,0,0,0,0,0,0
91,0.284162109914253,0,0.135779800727287,0,0,0,0,0,0
92,0.25858752002197,0,0.123559618661832,0,0,0,0,0,0
93,0.235314643219992,0,0.112439252982267,0,0,0,0,0,0
