"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,211.074940123261,0,0,0,0,0,0,0,0,0,0,0,0
60,0,243.553237066239,0,0,0,0,0,0,0,0,0,0,0,0
90,0,248.585967990154,0,0,0,0,0,0,0,0,0,0,0,0
120,0,249.28597297446,0.154570303436745,0.154570303436745,0.151974968603177,0.000165027776500698,0.000165027776500698,0.13248883151721,0.000424357139573223,0.000141452379857741,0.000121244897020921,0,0,0
150,0,248.886199011348,0.350661387387759,0.3504655935414,0.161200633514683,0.000300353217073845,0.000300284235307615,0.406447059827747,0.000831259140184161,0.000399122906657696,0.000326230116160267,0,0,0
180,0,248.248088156282,0.500839393257489,0.500347643540548,0.161983414821756,0.000427386112696569,0.000427208328764124,0.799833699297535,0.00140041364213908,0.000894102802172939,0.000831788401204511,0,0,0
210,0,247.980184052047,0.455876004538906,0.455337048191538,0.010025480128915,0.0002552357569145,0.00025510827130401,1.14342055462566,0.00121807455444389,0.00101215697457041,0.0013825459618871,0,0,0
240,0,247.921286313551,0.338876147856193,0.338368095480626,0.000808557085843727,0.000123395773871236,0.00012326416695781,1.40659010245758,0.00097062000503698,0.000940242587338914,0.00201363062644321,0,0,0
270,0,247.915261526124,0.245034438420552,0.24467303487146,0.000158777702910996,6.28426264772292e-05,6.27533693816943e-05,1.59275132737013,0.000781370599280254,0.000777586321921056,0.00256623399321224,0,0,0
300,0,247.91314219814,0.177200813078748,0.176948145969615,6.73349098226754e-05,3.27158937945197e-05,3.26595485005907e-05,1.72877982697905,0.000613788513894759,0.000612920699261679,0.00301790429841111,0,0,0
330,0,247.912861633309,0.128110214601966,0.127933185025873,3.42633251974495e-05,1.70904233486481e-05,1.70572010086364e-05,1.82681437269852,0.000469797227424018,0.000469289198262672,0.00336745646028011,0,0,0
360,0,247.912775036071,0.092622657377396,0.0924976665008923,1.78544755851627e-05,8.93323000979931e-06,8.91442118082478e-06,1.89774962062881,0.000353344832514307,0.000352957624142767,0.00363287610270255,0,0,0
390,0,247.912761658733,0.0669665486407851,0.0668777578641177,9.32981479103214e-06,4.6698974115468e-06,4.6595193272737e-06,1.94902335154665,0.000262626870023253,0.00026232847458767,0.00383124912424817,0,0,0
420,0,247.912758009243,0.0484177094692603,0.0483543381453467,4.87692893574798e-06,2.44126987883213e-06,2.43563839611722e-06,1.98609595830413,0.000193624734073124,0.000193398243349066,0.00397808795062703,0,0,0
450,0,247.912757384943,0.0350069890189989,0.0349616020093138,2.54943635006268e-06,1.27622929223218e-06,1.27320741886747e-06,2.01289934478552,0.000141950820661415,0.000141781178927468,0.00408603358126204,0,0,0
480,0,247.912757228861,0.0253109398309303,0.0252783496260751,1.33275410095933e-06,6.671820875707e-07,6.65572895567574e-07,2.03227865617022,0.000103656689583199,0.000103530868769042,0.00416501142877007,0,0,0
510,0,247.91275720023,0.0183005422694772,0.0182770966418605,6.96723873214764e-07,3.4878837975415e-07,3.47936008252471e-07,2.04629030457692,7.54814040075307e-05,7.53887440771131e-05,0.00422260089127869,0,0,0
540,0,247.912757193484,0.0132318697147812,0.0132149794977846,3.64229157484407e-07,1.82339619980039e-07,1.81889814495038e-07,2.05642109454198,5.48549234716706e-05,5.47870326500468e-05,0.00426449407414238,0,0,0
570,0,247.912757192186,0.00956708448174379,0.00955490455379524,1.90410607007596e-07,9.53237461274597e-08,9.50870079050587e-08,2.06374595465338,3.98080544109591e-05,3.97584946262923e-05,0.00429491711820462,0,0,0
