"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,211.074940123261,0,0,0,0,0,0,0,0,0,0,0,0,0
60,243.553237066239,0,0,0,0,0,0,0,0,0,0,0,0,0
90,248.585967990154,0,0,0,0,0,0,0,0,0,0,0,0,0
120,249.621631690616,0,0,0,0,0,0,0,0,0,0,0.10265192846465,0.10265192846465,0.0536589438791239
150,249.538590498027,0,0,0,0,0,0,0,0,0,0,0.175725072572163,0.175740843477524,0.267074521158789
180,249.249905346383,0,0,0,0,0,0,0,0,0,0,0.215095987792435,0.215133167633191,0.534938704677433
210,248.994006270884,0,0,0,0,0,0,0,0,0,0,0.133987885554133,0.133933625552043,0.787038479061246
240,248.965645390465,0,0,0,0,0,0,0,0,0,0,0.0726515389435654,0.0725807879753903,0.899222652207044
270,248.956075190614,0,0,0,0,0,0,0,0,0,0,0.039493116791033,0.0394418271060847,0.967119756887618
300,248.954676815076,0,0,0,0,0,0,0,0,0,0,0.0215019161454147,0.0214697946195109,1.00279978219111
330,248.954278684559,0,0,0,0,0,0,0,0,0,0,0.0117009292275012,0.0116822074649373,1.02243253821914
360,248.954211994256,0,0,0,0,0,0,0,0,0,0,0.00636785877441472,0.00635730047438092,1.03308270775906
390,248.954195156073,0,0,0,0,0,0,0,0,0,0,0.0034654431482319,0.00345958777727581,1.03888399348574
420,248.954192067322,0,0,0,0,0,0,0,0,0,0,0.00188591680241399,0.00188269785836102,1.04204019794389
450,248.95419134374,0,0,0,0,0,0,0,0,0,0,0.00102632590469403,0.00102456453891711,1.04375795102705
480,248.954191203171,0,0,0,0,0,0,0,0,0,0,0.000558531251133472,0.000557569865045829,1.04469273469712
510,248.954191171729,0,0,0,0,0,0,0,0,0,0,0.000303955050340137,0.000303431018100012,1.0452014504075
540,248.954191165401,0,0,0,0,0,0,0,0,0,0,0.00016541355045886,0.000165128120692766,1.04547829465543
570,248.954191164025,0,0,0,0,0,0,0,0,0,0,9.0018695085497e-05,8.98632892598947e-05,1.04562895435506
600,248.954191163741,0,0,0,0,0,0,0,0,0,0,4.89885171240584e-05,4.89039228126823e-05,1.04571094389553
630,248.954191163681,0,0,0,0,0,0,0,0,0,0,2.66597361819459e-05,2.6613693161442e-05,1.04575556290626
660,248.954191163668,0,0,0,0,0,0,0,0,0,0,1.45083287110915e-05,1.44832700080756e-05,1.04577984473679
690,248.954191163665,0,0,0,0,0,0,0,0,0,0,7.89548691400479e-06,7.88184930576345e-06,1.04579305899927
720,248.954191163665,0,0,0,0,0,0,0,0,0,0,4.29675355671309e-06,4.28933175098659e-06,1.04580025025019
750,248.954191163665,0,0,0,0,0,0,0,0,0,0,2.33830936946978e-06,2.33427034518832e-06,1.04580416375578
780,248.954191163665,0,0,0,0,0,0,0,0,0,0,1.27251670805225e-06,1.27031864117002e-06,1.04580629350014
810,248.954191163665,0,0,0,0,0,0,0,0,0,0,6.92508352755973e-07,6.91312152166163e-07,1.04580745251498
840,248.954191163665,0,0,0,0,0,0,0,0,0,0,3.76865635779293e-07,3.76214657649933e-07,1.04580808325519
870,248.954191163665,0,0,0,0,0,0,0,0,0,0,2.05091688495757e-07,2.04737423379768e-07,1.04580842650638
900,248.954191163665,0,0,0,0,0,0,0,0,0,0,1.11611663908366e-07,1.11418871393803e-07,1.04580861330495
930,248.954191163665,0,0,0,0,0,0,0,0,0,0,6.07394849104593e-08,6.06345664694002e-08,1.04580871496144
960,248.954191163665,0,0,0,0,0,0,0,0,0,0,3.30546548426654e-08,3.29975578247093e-08,1.04580877028327
990,248.954191163665,0,0,0,0,0,0,0,0,0,0,1.79884667829025e-08,1.79573943692513e-08,1.04580880038963
