"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,211.074940123261,0,0,0,0,0,0,0,0,0,0,0,0
60,0,243.553237066239,0,0,0,0,0,0,0,0,0,0,0,0
90,0,248.585967990154,0,0,0,0,0,0,0,0,0,0,0,0
120,0,249.28597297446,0.22081471919535,0.22081471919535,0.152318495811403,0.000336791380613669,0.000336791380613669,0,0,0,0,0,0,0
150,0,248.886199011348,0.553943040717233,0.553631000039674,0.161978939596329,0.000689470385443873,0.000689473148293617,0,0,0,0,0,0,0
180,0,248.248088156282,0.900943609425965,0.900077126669608,0.163546567312642,0.00120874344351184,0.00120900335257948,0,0,0,0,0,0,0
210,0,247.980184052047,1.02782461425179,1.02680899310432,0.0118318695253308,0.00115768577082415,0.00115904635187991,0,0,0,0,0,0,0
240,0,247.921286313551,1.04250165217467,1.04133269361973,0.00277080506054513,0.00110348569897322,0.00110541948597352,0,0,0,0,0,0,0
270,0,247.915261526124,1.04180317321262,1.04065562744952,0.00222137497380954,0.00109301949937791,0.00109517013999602,0,0,0,0,0,0,0
300,0,247.91314219814,1.0420406542648,1.04088813176261,0.00218964350739437,0.00109275932938009,0.00109492102691088,0,0,0,0,0,0,0
330,0,247.912861633309,1.04200465934414,1.04085311298223,0.00218753662101975,0.00109262565145089,0.00109479156305089,0,0,0,0,0,0,0
360,0,247.912775036071,1.04201084631172,1.04085909819539,0.00218744560574544,0.00109263469423778,0.00109480038615219,0,0,0,0,0,0,0
390,0,247.912761658733,1.04200968279991,1.04085797525164,0.00218743389829758,0.00109263200475056,0.00109479779734081,0,0,0,0,0,0,0
420,0,247.912758009243,1.04200986077823,1.0408581451405,0.00218743424084598,0.00109263237363261,0.00109479815078133,0,0,0,0,0,0,0
450,0,247.912757384943,1.0420098249233,1.04085811089053,0.00218743407396999,0.00109263229968992,0.00109479808025218,0,0,0,0,0,0,0
480,0,247.912757228861,1.04200982998664,1.04085811564058,0.00218743409445347,0.0010926323109168,0.00109479809083614,0,0,0,0,0,0,0
510,0,247.91275720023,1.0420098288866,1.04085811460166,0.00218743409012376,0.00109263230872749,0.0010947980887733,0,0,0,0,0,0,0
540,0,247.912757193484,1.0420098290256,1.04085811472894,0.00218743409073715,0.00109263230904871,0.0010947980890702,0,0,0,0,0,0,0
570,0,247.912757192186,1.04200982899166,1.04085811469726,0.00218743409061045,0.00109263230898317,0.0010947980890093,0,0,0,0,0,0,0
600,0,247.912757191892,1.04200982899526,1.04085811470043,0.00218743409062723,0.00109263230899201,0.00109479808901726,0,0,0,0,0,0,0
630,0,247.912757191834,1.0420098289942,1.04085811469945,0.00218743409062346,0.00109263230899004,0.00109479808901545,0,0,0,0,0,0,0
660,0,247.912757191821,1.04200982899428,1.04085811469952,0.00218743409062389,0.00109263230899027,0.00109479808901565,0,0,0,0,0,0,0
690,0,247.912757191819,1.04200982899424,1.04085811469948,0.00218743409062377,0.00109263230899021,0.0010947980890156,0,0,0,0,0,0,0
720,0,247.912757191818,1.04200982899425,1.04085811469948,0.00218743409062378,0.00109263230899022,0.0010947980890156,0,0,0,0,0,0,0
750,0,247.912757191818,1.04200982899424,1.04085811469948,0.00218743409062378,0.00109263230899021,0.0010947980890156,0,0,0,0,0,0,0
780,0,247.912757191818,1.04200982899424,1.04085811469948,0.00218743409062378,0.00109263230899021,0.0010947980890156,0,0,0,0,0,0,0
810,0,247.912757191818,1.04200982899424,1.04085811469948,0.00218743409062378,0.00109263230899021,0.0010947980890156,0,0,0,0,0,0,0
840,0,247.912757191818,1.04200982899424,1.04085811469948,0.00218743409062378,0.00109263230899021,0.0010947980890156,0,0,0,0,0,0,0
870,0,247.912757191818,1.04200982899424,1.04085811469948,0.00218743409062378,0.00109263230899021,0.0010947980890156,0,0,0,0,0,0,0
900,0,247.912757191818,1.04200982899424,1.04085811469948,0.00218743409062378,0.00109263230899021,0.0010947980890156,0,0,0,0,0,0,0
930,0,247.912757191818,1.04200982899424,1.04085811469948,0.00218743409062378,0.00109263230899021,0.0010947980890156,0,0,0,0,0,0,0
960,0,247.912757191818,1.04200982899424,1.04085811469948,0.00218743409062378,0.00109263230899021,0.0010947980890156,0,0,0,0,0,0,0
990,0,247.912757191818,1.04200982899424,1.04085811469948,0.00218743409062378,0.00109263230899021,0.0010947980890156,0,0,0,0,0,0,0
