"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,250,0,0,0,0,0,0,0,0,0,0,0,0
30,0,168.987125550755,0,0,378.619586429385,0,0,0.0434399377870209,0.0858821890908014,0.0286273963636005,2.8641717222203e-05,0,0,0
60,0,118.610377166525,42.7842814856816,42.7711828429104,385.191256257041,0,0,0.161631954921996,0.133264717482911,0.0676736808395746,8.6355239481537e-05,0,0,0
90,0,85.1082108203472,49.4583611537278,49.441710647611,124.919045874929,0,0,0.316220741084186,0.293215022713167,0.199842746986194,0.000338325650295833,0,0,0
120,0,80.6509200220088,50.6707470444376,50.6433331654104,74.6825691273149,0,0,0.684327596788215,0.4716045447183,0.415631290643518,0.0015090912086927,0,0,0
150,0,92.3178148560856,46.0210764627789,45.9914631872871,56.5246168327747,0,0,1.45023124305726,0.782062861077841,0.746177682985464,0.00574025572765457,0,0,0
180,0,109.097674100697,42.0580190893877,42.0312326844673,40.6954783091065,0,0,2.81806861562088,1.17401649201134,1.15042642381098,0.0182862145836563,0,0,0
210,0,128.189859247518,36.8835644880207,36.8612000016738,27.5307522837826,0,0,4.9758564388011,1.56723118040852,1.55246008162828,0.0484928143731023,0,0,0
240,0,147.657262127839,30.6727762281615,30.6552772953164,17.119915683786,0,0,7.9268870078948,1.83445784130644,1.82590325526528,0.106789529977962,0,0,0
270,0,165.843308054056,24.064244865717,24.0514044918304,9.73513382723253,0,0,11.4401983645733,1.88731948109322,1.88269526109223,0.197882891168577,0,0,0
300,0,181.472166757048,17.8385441206077,17.8296553893524,5.07122018347823,0,0,15.0886910856808,1.72237755820777,1.7199750793693,0.314296932756762,0,0,0
330,0,193.897374596012,12.5735083578308,12.5676385284131,2.43971452544067,0,0,18.4337947808854,1.41636345783739,1.41511257913308,0.438689898941669,0,0,0
360,0,203.126674473538,8.50391964924636,8.50017160753509,1.09731931823401,0,0,21.1892517363808,1.0698333026717,1.06915680412453,0.552985295393556,0,0,0
390,0,209.612249218978,5.57301173526847,5.57066834376486,0.46783490304839,0,0,23.2711937734648,0.756965929239153,0.75658120422517,0.646123844806293,0,0,0
420,0,213.979801923588,3.57029797544222,3.56884957929462,0.191590804475816,0,0,24.7439952274758,0.510648149549852,0.510420365031085,0.715449028283681,0,0,0
450,0,216.831132670559,2.25189203155394,2.251001694783,0.0762284584721468,0,0,25.737278750605,0.333199912352875,0.333061867161472,0.763791588141055,0,0,0
480,0,218.652667129234,1.40572659336739,1.40518050697138,0.0297312083080702,0,0,26.3852712213634,0.212593466132428,0.212508932914454,0.796015141883723,0,0,0
510,0,219.799403977031,0.871672070036136,0.871337361845426,0.0114428442178508,0,0,26.7986661608966,0.133665833308099,0.133613890752141,0.816855174790267,0,0,0
540,0,220.514399224197,0.538225858081521,0.538020727868088,0.00436612042649897,0,0,27.0585693997418,0.0832539894588432,0.0832220568417605,0.830070083939442,0,0,0
570,0,220.95743857499,0.331453118206666,0.331327390002447,0.00165674318740956,0,0,27.2204470547863,0.051547770816419,0.051528148558576,0.838344807170912,0,0,0
600,0,221.23088097528,0.203780300065291,0.203703229584478,0.000626470465734873,0,0,27.3206750852918,0.0317982037305739,0.0317861533520191,0.843485098955217,0,0,0
630,0,221.399230241324,0.125157965348418,0.125110716975668,0.000236374576385316,0,0,27.3825026414633,0.0195701776483291,0.0195627810345224,0.846662438954306,0,0,0
660,0,221.502716873975,0.0768212174129722,0.0767922495282544,8.9066540480628e-05,0,0,27.420554444391,0.0120273177220009,0.0120227792731703,0.848620382454023,0,0,0
690,0,221.566270496347,0.0471341350353119,0.0471163740294239,3.35325227739516e-05,0,0,27.4439401381149,0.00738519485861026,0.00738241081403832,0.849824611225374,0,0,0
720,0,221.605277153868,0.0289125545093742,0.0289016644113501,1.26181234203549e-05,0,0,27.458299800461,0.00453232375743876,0.00453061619494693,0.850564400298967,0,0,0
750,0,221.629209121243,0.0177326598380408,0.0177259824821052,4.74663809569428e-06,0,0,27.4671123944247,0.00278058400651015,0.00277953679642539,0.85101854390317,0,0,0
