"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,250,0,0,0,0,0,0,0,0,0,0,0,0
30,0,152.525852464776,0,0,638.39354361782,0,0,0.0936786997468802,0.308522047408132,0.102840682469377,0.000205887252190928,0,0,0
60,0,82.3508133530425,48.2562655537408,48.2239122135354,656.180457214383,0,0,0.357943439645422,0.507337534058715,0.259575202156335,0.000673531592505119,0,0,0
90,0,43.5716916167771,46.2547202866946,46.2203868381738,232.879627167212,0,0,0.615239078485438,1.12960583106943,0.758170653128474,0.00265598708930561,0,0,0
120,0,33.9736188738231,47.7219563220467,47.6637542389839,144.246947353195,0,0,1.44077364255537,2.18806124344714,1.94206713544937,0.0161067638408253,0,0,0
150,0,35.3042257799817,43.3265378629039,43.2611168967339,120.997390280169,0,0,3.65749641820058,4.67997536841693,4.4877956733851,0.0935255950568189,0,0,0
180,0,38.4383009535464,41.0673767038434,41.0047033697601,98.7065470329598,0,0,8.53849995903852,9.39170448328372,9.23469741080551,0.469166471475185,0,0,0
210,0,40.4209274279034,36.9179605612537,36.8632969242284,76.8822694454819,0,0,17.4929547116151,16.4988490863595,16.3707992596288,1.88460074871375,0,0,0
240,0,39.9386143833243,31.0731597946849,31.0291874035502,55.3599448108987,0,0,30.1720459967824,24.340549507135,24.2385958428479,5.71168211896401,0,0,0
270,0,37.1000915378869,24.6066912495745,24.5738476716873,37.3899626079797,0,0,44.2018038640409,30.5280665158661,30.447590191161,13.2401188960466,0,0,0
300,0,33.0117353274054,18.7990754470214,18.7756611575304,24.4003746202326,0,0,56.6314238515477,33.66821491149,33.604385424836,24.4418873950493,0,0,0
330,0,28.7275526217165,14.1986788677046,14.1822605881748,15.8558490341326,0,0,65.8862425861398,34.0184583480668,33.9672793837634,37.985923284414,0,0,0
360,0,24.8488975320953,10.7874815414239,10.7758895173383,10.473951368798,0,0,71.8921967000342,32.5760698819601,32.5345282554754,52.2216427766805,0,0,0
390,0,21.5734457242093,8.31952150673317,8.3111712028365,7.10500907937495,0,0,75.3212661304065,30.2674455753888,30.2333024491758,65.9508118918475,0,0,0
420,0,18.8897601667071,6.5354081126441,6.52923925066522,4.96351628263644,0,0,76.9547578410703,27.6883078060657,27.6598944069526,78.5547686676908,0,0,0
450,0,16.7110191662377,5.23077670768865,5.22610079307189,3.56731113745554,0,0,77.4238283410269,25.1522110599898,25.1282797110866,89.8264219091376,0,0,0
480,0,14.9393027026694,4.2606221112116,4.2569918784182,2.63079472366678,0,0,77.1711012073871,22.7986676596855,22.7782821161842,99.7808199913906,0,0,0
