"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,250,0,0,0,0,0,0,0,0,0,0,0,0
30,0,152.585109715962,0,0,638.520533487325,0,0,0.0562316558279986,0.18526785769616,0.0617559525653866,7.41516340589055e-05,0,0,0
60,0,82.4461535628036,48.3324580425367,48.312999079695,656.395228702065,0,0,0.215067918867439,0.304839638942294,0.155993993051578,0.00024278573999421,0,0,0
90,0,43.7155962148083,46.4147654558033,46.394070361649,233.609339396427,0,0,0.370617485693348,0.680314577215043,0.456809908591013,0.000960297120226379,0,0,0
120,0,34.2853986625717,48.1578875075392,48.1225813468431,145.550364404212,0,0,0.875037152304163,1.32842986984445,1.17996527664924,0.0058846467206192,0,0,0
150,0,36.1251426120292,44.2873523444452,44.2471295985149,123.725624284649,0,0,2.26845247669674,2.89906133658941,2.78241737993885,0.0351079804466319,0,0,0
180,0,40.383027437235,43.0381538348143,42.9986104392348,103.419511504675,0,0,5.5199499788489,6.05540231669914,5.95929261747009,0.186264850482258,0,0,0
210,0,44.3505588896609,40.2379952186931,40.2020368240314,83.6132795830586,0,0,12.1123693474805,11.3478107690612,11.2686602102195,0.821192411513931,0,0,0
240,0,46.2961620152026,35.4827064651766,35.4522631155381,62.7791078586204,0,0,22.8284161638773,18.1537931061394,18.0905108180362,2.81375351872105,0,0,0
270,0,45.4826684308631,29.3100653664253,29.2862064688058,43.8317969218867,0,0,36.6979124160955,24.6773084217368,24.6275793007638,7.43299577891294,0,0,0
300,0,42.4539648723888,23.0521593153873,23.0345586429467,29.0324321083494,0,0,51.0398878443497,29.048923651475,29.0098692561177,15.4301543026659,0,0,0
330,0,38.3290746701651,17.6688493220952,17.6562927408646,18.7868778163132,0,0,63.3718760480287,30.6947180629792,30.663745484785,26.3410576626589,0,0,0
360,0,34.0663706503761,13.4743891312846,13.4654928980779,12.1855126765503,0,0,72.5898575190454,30.1818081805636,30.1569340334645,38.8454138807653,0,0,0
390,0,30.1825843620343,10.3605032533232,10.3541275527869,8.05142187371613,0,0,78.8056476999719,28.4096343452921,28.3894059755428,51.6149221230795,0,0,0
420,0,26.8530911993441,8.08521003222867,8.08054362715433,5.45926080443199,0,0,82.6575217686063,26.0939107218838,26.0772591290162,63.7642708682699,0,0,0
450,0,24.0748565763668,6.41806988439554,6.41457086288088,3.80469981316937,0,0,84.8326725430062,23.6656146456289,23.6517449992614,74.8629308136848,0,0,0
480,0,21.7773460496617,5.18162729268677,5.17894027777745,2.72176138490655,0,0,85.8835513185309,21.3418521429934,21.330169452668,84.7824238981223,0,0,0
510,0,19.8765308313525,4.2497420984863,4.24763285216729,1.99359203685724,0,0,86.2046471033647,19.2136053794985,19.2036615328234,93.5541273089371,0,0,0
540,0,18.295792534855,3.53525285100656,3.53356442557933,1.49101970172435,0,0,86.0629095047543,17.3064019180613,17.2978568426958,101.278934541947,0,0,0
570,0,16.9716059024074,2.97818670632868,2.97681170619022,1.13568711698979,0,0,85.6347265092159,15.6149368819301,15.6075300630941,108.079097532618,0,0,0
600,0,15.8533409999701,2.53697424477623,2.53583753391035,0.878928779087036,0,0,85.0355281166243,14.1210829568503,14.114612703844,114.075415606867,0,0,0
630,0,14.90126219625,2.18243183110857,2.18147969355518,0.689754923107007,0,0,84.3405784970874,12.8027200352688,12.7970284565011,119.37780720937,0,0,0
660,0,14.0842965161593,1.89376097992416,1.89295422423876,0.547941831632866,0,0,83.5988373698811,11.6378146177825,11.6327767276259,124.082416104779,0,0,0
690,0,13.3780852780628,1.65590543668017,1.65521492656291,0.439982383248666,0,0,82.8420186867584,10.6061312132243,10.6016469985345,128.271684885558,0,0,0
720,0,12.7634256227423,1.45779658436554,1.45720028344499,0.356659500883585,0,0,82.0904824787868,9.68979993195198,9.68578853191389,132.015631405405,0,0,0
750,0,12.2250696666565,1.29117637678264,1.29065735541323,0.291558228821407,0,0,81.3570770415685,8.8733551153065,8.86975051350424,135.373491858481,0,0,0
780,0,11.7508136348168,1.1497973515299,1.14934241654435,0.240132533063527,0,0,80.6496599058021,8.14354874548569,8.14029655012005,138.395355903642,0,0,0
810,0,11.3308103277895,1.02887122361707,1.02846995921578,0.199107272894601,0,0,79.972764441509,7.48908560140538,7.48614061453943,141.12364317432,0,0,0
840,0,10.9570497032523,0.92468336285327,0.924327447870961,0.166087122469324,0,0,79.3287102291074,6.90034869852964,6.89767306254747,143.594375851164,0,0,0
870,0,10.6229648548294,0.83431945613753,0.83400217037527,0.139295948832729,0,0,78.7183482316739,6.36914466491754,6.36670643523361,145.838248991275,0,0,0
900,0,10.323131353685,0.755469082101643,0.755184944142716,0.117400052474071,0,0,78.14156402875,5.88847974699332,5.8862517825633,147.881519120852,0,0,0
930,0,10.0530362587781,0.686282733310121,0.686027231196759,0.0993863171094084,0,0,77.5976193356094,5.45236820296574,5.45032729600781,149.746737144774,0,0,0
960,0,9.80889935431588,0.625266470604619,0.625035859049793,0.0844769336533327,0,0,77.0853845148285,5.05567091596803,5.05379710342164,151.453351255394,0,0,0
990,0,9.58753377223624,0.5712034099211,0.570994555838163,0.0720688787435846,0,0,76.6034970398697,4.69396059862273,4.6922366129276,153.018202796599,0,0,0
1020,0,9.38623651376138,0.523094572299688,0.522904835863371,0.0616903997912095,0,0,76.1504693154734,4.36340967500978,4.36182050261533,154.455934637594,0,0,0
1050,0,9.20270182855878,0.480113867160538,0.479941009304147,0.0529693473083773,0,0,75.7247616629639,4.06069716377864,4.05922968764765,155.779328283015,0,0,0
1080,0,9.03495219350262,0.441573503405541,0.441415613203555,0.0456098682682435,0,0,75.3248312359066,3.78293132387309,3.78157403199119,156.999582987896,0,0,0
1110,0,8.88128293920369,0.406897173273762,0.406752610435996,0.0393750721252518,0,0,74.9491642529186,3.5275853062997,3.52632805244509,158.12654763966,0,0,0
1140,0,8.74021753401592,0.375599086003459,0.375466434963419,0.0340740120370947,0,0,74.5962966505236,3.29244351125377,3.2912773174399,159.168914101053,0,0,0
1170,0,8.6104712472482,0.347267444349444,0.347145477328385,0.0295518170736809,0,0,74.2648267021044,3.07555675223177,3.0744736446064,160.134379026944,0,0,0
1200,0,8.4909214439068,0.321551324549245,0.32143897162759,0.0256821483245127,0,0,73.953422079488,2.87520467083189,2.87419754260913,161.029779813455,0,0,0
1230,0,8.38058316128237,0.298150184793637,0.298046509496544,0.0223613850176222,0,0,73.6608230936769,2.68986413060916,2.68892662697846,161.861209251343,0,0,0
1260,0,8.27858891819443,0.276805419387968,0.276709598642506,0.0195041099101022,0,0,73.3858433358647,2.51818255223874,2.51730897324421,162.634112585782,0,0,0
1290,0,8.18417193608716,0.257293516658125,0.257204824240685,0.0170395785698689,0,0,73.1273685788409,2.35895534297187,2.35814056116729,163.353369988485,0,0,0
1320,0,8.09665212586847,0.23942048284135,0.239338275630174,0.0149089395626709,0,0,72.8843545446871,2.21110672826514,2.2103461185819,164.023366890241,0,0,0
1350,0,8.01542432886333,0.223017271901258,0.222940978397632,0.0130630319698511,0,0,72.6558239648929,2.07367341901725,2.0729627987775,164.648054174214,0,0,0
1380,0,7.93994840441303,0.207936019611796,0.207865130306964,0.0114606298888316,0,0,72.4408632314379,1.94579064957656,1.9451262269743,165.230999870018,0,0,0
1410,0,7.86974083781065,0.194046924489153,0.193980983741342,0.0100670352880099,0,0,72.2386188465945,1.8266802041639,1.8260585338461,165.775433697927,0,0,0
1440,0,7.80436760586801,0.18123565189326,0.181174251046835,0.00885294405258359,0,0,72.0482938144951,1.71564011632238,1.71505806094919,166.28428557726,0,0,0
1470,0,7.74343808753476,0.169401163536698,0.169343935068221,0.00779352754969574,0,0,71.8691440713584,1.61203578048353,1.61149047734447,166.760219022004,0,0,0
1500,0,7.68659984670765,0.158453894674128,0.158400507191489,0.00686768517599102,0,0,71.70047501838,1.51529225915742,1.5147810910799,167.205660191094,0,0,0
1530,0,7.63353414600189,0.148314216831091,0.148264370784579,0.00605743328218186,0,0,71.5416381979193,1.42488760556287,1.42440817547866,167.622823233593,0,0,0
1560,0,7.58395207557887,0.138911136127889,0.13886456011801,0.00534740342844165,0,0,71.3920281370693,1.34034705127511,1.33989715991539,168.013732464711,0,0,0
1590,0,7.53759120149263,0.130181186853467,0.130137634441072,0.00472442871435502,0,0,71.2510793710733,1.26123793293104,1.26081555920669,168.380241822749,0,0,0
1620,0,7.4942126544772,0.12206748754046,0.122026734481361,0.00417720138858656,0,0,71.1182636509721,1.18716525219902,1.18676853589328,168.724051986194,0,0,0
1650,0,7.45359859345764,0.114518932835085,0.11448077467479,0.00369598840096694,0,0,70.9930873343377,1.11776777989408,1.11739500635294,169.046725471473,0,0,0
1680,0,7.41554998896026,0.107489499286375,0.10745374926143,0.00327239425395487,0,0,70.875088954258,1.05271462894593,1.05236421549973,169.349699983087,0,0,0
