Time,ZW,ZZ,MaZ,MbZ,MaMb,MaMa,MbMb,RZ,MaR,MbR,RR,MaW,MbW,RW,generation,threshold,rM,total_females
0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.001,250
30,188.67889807536,0,0,0,0,0,0,0,0,0,0,26.7827850915457,26.7827850915457,0.00682924675744162,2,0.1,0.001,242.25129750520884
60,208.602000722982,0,0,0,0,0,0,0,0,0,0,37.9772922680086,37.9745620141232,0.0520658089183292,3,0.1,0.001,284.6059208140321
90,210.919692798103,0,0,0,0,0,0,0,0,0,0,16.9032575206494,16.8992738690087,0.0922260704718095,4,0.1,0.001,244.8144502582329
120,219.242334191272,0,0,0,0,0,0,0,0,0,0,12.0547634616219,12.0499250863083,0.130274268907336,5,0.1,0.001,243.47729700810953
150,229.055921014261,0,0,0,0,0,0,0,0,0,0,7.83011529233771,7.82640283066003,0.161863567480517,6,0.1,0.001,244.87430270473925
180,236.64869560626,0,0,0,0,0,0,0,0,0,0,4.88985369143848,4.887507774303,0.184194241010329,7,0.1,0.001,246.6102513130118
210,241.766320221739,0,0,0,0,0,0,0,0,0,0,2.96731207319167,2.96591436000458,0.19869997911197,8,0.1,0.001,247.8982466340472
240,244.998890750419,0,0,0,0,0,0,0,0,0,0,1.76511798019443,1.7643021160015,0.207719137817564,9,0.1,0.001,248.7360299844325
270,246.967191395039,0,0,0,0,0,0,0,0,0,0,1.03641152336001,1.03593920027815,0.213158076243982,10,0.1,0.001,249.25270019492115
300,248.139393523056,0,0,0,0,0,0,0,0,0,0,0.603610507259158,0.603338011769327,0.216378279447132,11,0.1,0.001,249.5627203215316
330,248.828044140795,0,0,0,0,0,0,0,0,0,0,0.349813207569004,0.34965622505413,0.218262972376776,12,0.1,0.001,249.7457765457949
360,249.229260215994,0,0,0,0,0,0,0,0,0,0,0.20213387392993,0.202043492270423,0.21935843498689,13,0.1,0.001,249.85279601718125
390,249.461838500787,0,0,0,0,0,0,0,0,0,0,0.116598281626695,0.116546258439651,0.21999253046507,14,0.1,0.001,249.91497557131842
420,249.596254426279,0,0,0,0,0,0,0,0,0,0,0.0671905687065816,0.0671606279013542,0.220358674741041,15,0.1,0.001,249.95096429762796
450,249.673799962352,0,0,0,0,0,0,0,0,0,0,0.038696458458002,0.0386792276210097,0.220569794236737,16,0.1,0.001,249.97174544266775
480,249.718489638583,0,0,0,0,0,0,0,0,0,0,0.0222785924066747,0.022268676384352398,0.220691424800852,17,0.1,0.001,249.98372833217488
510,249.744228627946,0,0,0,0,0,0,0,0,0,0,0.0128238913862888,0.0128181849829843,0.220761464965181,18,0.1,0.001,249.99063216928045
540,249.759047701146,0,0,0,0,0,0,0,0,0,0,0.00738079678249372,0.00737751292655086,0.220801785857937,19,0.1,0.001,249.99460779671298
570,249.767577934703,0,0,0,0,0,0,0,0,0,0,0.00424774693923952,0.00424585719128257,0.220824994138567,20,0.1,0.001,249.9968965329721
600,249.772487566782,0,0,0,0,0,0,0,0,0,0,0.00244454415203204,0.00244345666864217,0.220838351335475,21,0.1,0.001,249.99821391893815
630,249.775313143068,0,0,0,0,0,0,0,0,0,0,0.00140678538066493,0.00140615957312742,0.220846038467928,22,0.1,0.001,249.99897212648972
660,249.776939245354,0,0,0,0,0,0,0,0,0,0,8.0956637347393e-4,8.0920624404706e-4,0.220850462313557,23,0.1,0.001,249.99940848028507
690,249.777875036075,0,0,0,0,0,0,0,0,0,0,4.6587992637689e-4,4.6567268511079e-4,0.220853008134329,24,0.1,0.001,249.9996595968208
720,249.778413558605,0,0,0,0,0,0,0,0,0,0,2.6809811763707e-4,2.6797885792596e-4,0.220854473180233,25,0.1,0.001,249.9998041087608
750,249.778723461561,0,0,0,0,0,0,0,0,0,0,1.5428102383471e-4,1.5421239427615e-4,0.220855316266618,26,0.1,0.001,249.9998872712457
780,249.778901800288,0,0,0,0,0,0,0,0,0,0,8.87831752944288e-5,8.8743681521835e-5,0.22085580143383,27,0.1,0.001,249.99993512857864
810,249.779004427968,0,0,0,0,0,0,0,0,0,0,5.10914815979127e-5,5.10687543936168e-5,0.220856080630324,28,0.1,0.001,249.99996266883431
840,249.779063486511,0,0,0,0,0,0,0,0,0,0,2.94012724362513e-5,2.93881937717742e-5,0.220856241297807,29,0.1,0.001,249.99997851727503
870,249.779097472554,0,0,0,0,0,0,0,0,0,0,1.69193488109198e-5,1.6911822523941e-5,0.220856333756072,30,0.1,0.001,249.9999876374814
900,249.779117030274,0,0,0,0,0,0,0,0,0,0,9.73646029825053e-6,9.73212919890449e-6,0.220856386962404,31,0.1,0.001,249.9999928858259
930,249.779128285021,0,0,0,0,0,0,0,0,0,0,5.60297279287854e-6,5.6004804056631e-6,0.220856417580685,32,0.1,0.001,249.99999590605486
960,249.779134761714,0,0,0,0,0,0,0,0,0,0,3.22430345490605e-6,3.22286917840573e-6,0.220856435200375,33,0.1,0.001,249.99999764408702
990,249.77913848881,0,0,0,0,0,0,0,0,0,0,1.85546724216572e-6,1.85464186918073e-6,0.220856445339855,34,0.1,0.001,249.99999864425897
1020,249.779140633616,0,0,0,0,0,0,0,0,0,0,1.06775267247292e-6,1.06727770090118e-6,0.22085645117475,35,0.1,0.001,249.99999921982112
1050,249.779141867873,0,0,0,0,0,0,0,0,0,0,6.1445210834739e-7,6.14178779806315e-7,0.220856454532515,36,0.1,0.001,249.9999995510364
1080,249.779142578141,0,0,0,0,0,0,0,0,0,0,3.53594424210308e-7,3.53437133762235e-7,0.220856456464785,37,0.1,0.001,249.99999974163734
1110,249.779142986875,0,0,0,0,0,0,0,0,0,0,2.03480490582004e-7,2.03389975757051e-7,0.220856457576735,38,0.1,0.001,249.9999998513222
1140,249.779143222086,0,0,0,0,0,0,0,0,0,0,1.17095483239654e-7,1.17043395311647e-7,0.220856458216622,39,0.1,0.001,249.9999999144415
1170,249.779143357442,0,0,0,0,0,0,0,0,0,0,6.7384112068227e-8,6.73541373956219e-8,0.220856458584852,40,0.1,0.001,249.9999999507651
1200,249.779143435333,0,0,0,0,0,0,0,0,0,0,3.87770598055634e-8,3.87598104921019e-8,0.220856458796755,41,0.1,0.001,249.99999997166663
1230,249.779143480157,0,0,0,0,0,0,0,0,0,0,2.23147611581115e-8,2.23048348173368e-8,0.220856458918698,42,0.1,0.001,249.9999999836953
1260,249.779143505952,0,0,0,0,0,0,0,0,0,0,1.28413182418452e-8,1.28356060005208e-8,0.220856458988871,43,0.1,0.001,249.9999999906178
1290,249.779143520795,0,0,0,0,0,0,0,0,0,0,7.3897028519112e-9,7.386415668679311e-9,0.220856459029253,44,0.1,0.001,249.9999999946004
1320,249.779143529338,0,0,0,0,0,0,0,0,0,0,4.25250018787523e-9,4.2506085357222104e-9,0.220856459052491,45,0.1,0.001,249.9999999968936
1350,249.779143534253,0,0,0,0,0,0,0,0,0,0,2.44715629431958e-9,2.4460677185951402e-9,0.220856459065864,46,0.1,0.001,249.99999999821208
1380,249.779143537082,0,0,0,0,0,0,0,0,0,0,1.4082477752204201e-9,1.40762134022497e-9,0.22085645907356,47,0.1,0.001,249.99999999897145
1410,249.77914353871,0,0,0,0,0,0,0,0,0,0,8.10394416160575e-10,8.10033926031412e-10,0.220856459077989,48,0.1,0.001,249.99999999940843
1440,249.779143539647,0,0,0,0,0,0,0,0,0,0,4.6635195971589e-10,4.66144511003461e-10,0.220856459080537,49,0.1,0.001,249.99999999966005
1470,249.779143540186,0,0,0,0,0,0,0,0,0,0,2.68368273513461e-10,2.6824889446586303e-10,0.220856459082004,50,0.1,0.001,249.99999999980463
1500,249.779143540496,0,0,0,0,0,0,0,0,0,0,1.54435997807973e-10,1.5436729958932002e-10,0.220856459082847,51,0.1,0.001,249.99999999988765
1530,249.779143540674,0,0,0,0,0,0,0,0,0,0,8.88721945655605e-11,8.883266128613709e-11,0.220856459083333,52,0.1,0.001,249.99999999993503
1560,249.779143540777,0,0,0,0,0,0,0,0,0,0,5.11426550739386e-11,5.1119905136420194e-11,0.220856459083612,53,0.1,0.001,249.99999999996288
