"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,25,0,0,225,0,0,0,0,0,0,0,0,0
30,0,101.02067525048,36.9068334793309,29.3362121928563,48.6688056888945,34.0677957891358,0,0,0,0,0,0,0,0
60,0,70.6619678534794,69.1324323689519,48.0542245175688,31.2965376614399,22.5445621353341,8.31036644724384,0,0,0,0,0,0,0
90,0,69.2790242101358,79.2598811330186,44.7626308286906,27.5420545317541,19.9467664392686,9.20966173388336,0,0,0,0,0,0,0
120,0,68.5671311811974,81.0525351788658,43.6194022793922,27.6822159817851,19.3749809576089,9.70373839177125,0,0,0,0,0,0,0
150,0,68.6137946949072,81.3740972827567,43.3373656341901,27.705638872954,19.1839379371696,9.78516641400637,0,0,0,0,0,0,0
180,0,68.6000869542803,81.4402891032776,43.2754964192894,27.7229423372728,19.1594318785945,9.80175348324147,0,0,0,0,0,0,0
210,0,68.6020764269006,81.4515582568568,43.2642550017918,27.7254446654971,19.1518186019793,9.80484708401062,0,0,0,0,0,0,0
240,0,68.6017063378309,81.453939609404,43.2619212127303,27.7261691147746,19.1508376181345,9.80542611492133,0,0,0,0,0,0,0
270,0,68.6017683604372,81.454346989939,43.2615090950609,27.7262693577266,19.1505708324752,9.80553536600209,0,0,0,0,0,0,0
300,0,68.6017575979374,81.4544316864751,43.2614254365083,27.7262957180646,19.1505332754836,9.80555628587654,0,0,0,0,0,0,0
330,0,68.6017594319825,81.4544464690202,43.2614104906958,27.726299441469,19.1505239979718,9.80556016893371,0,0,0,0,0,0,0
360,0,68.6017591187994,81.4544494835265,43.2614075049068,27.7263003727849,19.1505225976075,9.80556092239028,0,0,0,0,0,0,0
390,0,68.6017591719611,81.4544500186049,43.261406964999,27.7263005104718,19.1505222722735,9.80556106169307,0,0,0,0,0,0,0
420,0,68.6017591629628,81.4544501261367,43.2614068582858,27.7263005431984,19.1505222207145,9.80556108870261,0,0,0,0,0,0,0
450,0,68.6017591644788,81.4544501454654,43.2614068388189,27.7263005482752,19.1505222092457,9.8055610937163,0,0,0,0,0,0,0
480,0,68.6017591642243,81.4544501493064,43.261406835001,27.7263005494269,19.150522207358,9.80556109468354,0,0,0,0,0,0,0
510,0,68.6017591642668,81.4544501500038,43.2614068342997,27.7263005496133,19.1505222069525,9.805561094864,0,0,0,0,0,0,0
540,0,68.6017591642598,81.4544501501412,43.261406834163,27.7263005496539,19.1505222068836,9.80556109489866,0,0,0,0,0,0,0
570,0,68.6017591642609,81.4544501501663,43.2614068341378,27.7263005496607,19.1505222068693,9.80556109490514,0,0,0,0,0,0,0
600,0,68.6017591642608,81.4544501501712,43.2614068341329,27.7263005496622,19.1505222068668,9.80556109490639,0,0,0,0,0,0,0
630,0,68.6017591642608,81.4544501501721,43.261406834132,27.7263005496624,19.1505222068663,9.80556109490663,0,0,0,0,0,0,0
660,0,68.6017591642608,81.4544501501722,43.2614068341319,27.7263005496625,19.1505222068662,9.80556109490667,0,0,0,0,0,0,0
690,0,68.6017591642608,81.4544501501722,43.2614068341319,27.7263005496625,19.1505222068662,9.80556109490667,0,0,0,0,0,0,0
720,0,68.6017591642608,81.4544501501722,43.2614068341319,27.7263005496625,19.1505222068662,9.80556109490667,0,0,0,0,0,0,0
750,0,68.6017591642608,81.4544501501722,43.2614068341319,27.7263005496625,19.1505222068662,9.80556109490669,0,0,0,0,0,0,0
780,0,68.6017591642608,81.4544501501722,43.2614068341319,27.7263005496625,19.1505222068662,9.80556109490669,0,0,0,0,0,0,0
810,0,68.6017591642608,81.4544501501722,43.2614068341319,27.7263005496625,19.1505222068662,9.80556109490669,0,0,0,0,0,0,0
840,0,68.6017591642608,81.4544501501722,43.2614068341319,27.7263005496625,19.1505222068662,9.80556109490669,0,0,0,0,0,0,0
870,0,68.6017591642608,81.4544501501722,43.2614068341319,27.7263005496625,19.1505222068662,9.80556109490669,0,0,0,0,0,0,0
900,0,68.6017591642608,81.4544501501722,43.2614068341319,27.7263005496625,19.1505222068662,9.80556109490669,0,0,0,0,0,0,0
930,0,68.6017591642608,81.4544501501722,43.2614068341319,27.7263005496625,19.1505222068662,9.80556109490669,0,0,0,0,0,0,0
960,0,68.6017591642608,81.4544501501722,43.2614068341319,27.7263005496625,19.1505222068662,9.80556109490669,0,0,0,0,0,0,0
990,0,68.6017591642608,81.4544501501722,43.2614068341319,27.7263005496625,19.1505222068662,9.80556109490669,0,0,0,0,0,0,0
