"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,0,0,0,250,0,0,0,0,0,0,0,0,0
30,0,92.8791825520941,28.3898906106877,28.3898906106877,58.2823514801465,42.0590071470813,0,0,0,0,0,0,0,0
60,0,58.3020817272712,66.6891832992411,48.3850692425232,38.4992081767338,27.9053127417509,10.2192357964978,0,0,0,0,0,0,0
90,0,56.1924402693556,79.4656113170213,44.3501265960794,33.9432207774368,24.7629812709081,11.2856386459498,0,0,0,0,0,0,0
120,0,55.4150747608672,81.8375810117859,42.6724906070672,34.1612081540797,23.9516102100368,11.9620392267839,0,0,0,0,0,0,0
150,0,55.4566317486335,82.3293743148464,42.2451978985137,34.2073784141685,23.6775664670618,12.08385199276,0,0,0,0,0,0,0
180,0,55.442580202927,82.4336972491647,42.1433194515774,34.2346168948256,23.6353437590973,12.1104426183642,0,0,0,0,0,0,0
210,0,55.4445429063032,82.4546716891846,42.1228715038118,34.2394886250633,23.6224856097419,12.1159397029314,0,0,0,0,0,0,0
240,0,55.4441715857687,82.4592040679377,42.1183122007882,34.2408199135634,23.6204364292165,12.1170558105211,0,0,0,0,0,0,0
270,0,55.444233431667,82.4601176315751,42.1174075112533,34.241053109294,23.6198979783384,12.1172903395131,0,0,0,0,0,0,0
300,0,55.4442226741263,82.4603132578177,42.1172106370287,34.2411108818413,23.6198035769741,12.1173389725575,0,0,0,0,0,0,0
330,0,55.4442245056967,82.4603531139731,42.1171710120405,34.2411213291295,23.6197809707863,12.1173490684467,0,0,0,0,0,0,0
360,0,55.4442241928349,82.4603615666807,42.1171625210151,34.241123791432,23.6197767442327,12.1173511838201,0,0,0,0,0,0,0
390,0,55.4442242459364,82.4603633023144,42.1171607919521,34.2411242550532,23.6197757831971,12.1173516215503,0,0,0,0,0,0,0
420,0,55.4442242369481,82.4603636681481,42.1171604250089,34.2411243601094,23.6197755964955,12.1173517132909,0,0,0,0,0,0,0
450,0,55.4442242384624,82.4603637436293,42.1171603497145,34.2411243805561,23.6197755553327,12.1173517323054,0,0,0,0,0,0,0
480,0,55.4442242382083,82.4603637594779,42.1171603338344,34.2411243850585,23.6197755471387,12.1173517362824,0,0,0,0,0,0,0
510,0,55.4442242382507,82.4603637627581,42.1171603305594,34.2411243859556,23.619775545368,12.1173517371083,0,0,0,0,0,0,0
540,0,55.4442242382437,82.4603637634451,42.1171603298716,34.2411243861493,23.6197755450098,12.1173517372808,0,0,0,0,0,0,0
570,0,55.4442242382448,82.4603637635876,42.1171603297292,34.2411243861885,23.6197755449334,12.1173517373166,0,0,0,0,0,0,0
600,0,55.4442242382447,82.4603637636174,42.1171603296994,34.2411243861969,23.6197755449178,12.1173517373241,0,0,0,0,0,0,0
630,0,55.4442242382447,82.4603637636236,42.1171603296932,34.2411243861986,23.6197755449145,12.1173517373257,0,0,0,0,0,0,0
660,0,55.4442242382447,82.4603637636249,42.1171603296919,34.2411243861989,23.6197755449138,12.117351737326,0,0,0,0,0,0,0
690,0,55.4442242382447,82.4603637636251,42.1171603296917,34.241124386199,23.6197755449136,12.1173517373261,0,0,0,0,0,0,0
720,0,55.4442242382447,82.4603637636252,42.1171603296917,34.241124386199,23.6197755449136,12.1173517373261,0,0,0,0,0,0,0
750,0,55.4442242382447,82.4603637636252,42.1171603296917,34.241124386199,23.6197755449136,12.1173517373261,0,0,0,0,0,0,0
780,0,55.4442242382447,82.4603637636252,42.1171603296917,34.241124386199,23.6197755449136,12.1173517373261,0,0,0,0,0,0,0
810,0,55.4442242382447,82.4603637636252,42.1171603296917,34.241124386199,23.6197755449136,12.1173517373261,0,0,0,0,0,0,0
840,0,55.4442242382447,82.4603637636252,42.1171603296917,34.241124386199,23.6197755449136,12.1173517373261,0,0,0,0,0,0,0
870,0,55.4442242382447,82.4603637636252,42.1171603296917,34.241124386199,23.6197755449136,12.1173517373261,0,0,0,0,0,0,0
900,0,55.4442242382447,82.4603637636252,42.1171603296917,34.241124386199,23.6197755449136,12.1173517373261,0,0,0,0,0,0,0
930,0,55.4442242382447,82.4603637636252,42.1171603296917,34.241124386199,23.6197755449136,12.1173517373261,0,0,0,0,0,0,0
960,0,55.4442242382447,82.4603637636252,42.1171603296917,34.241124386199,23.6197755449136,12.1173517373261,0,0,0,0,0,0,0
990,0,55.4442242382447,82.4603637636252,42.1171603296917,34.241124386199,23.6197755449136,12.1173517373261,0,0,0,0,0,0,0
