"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,250,0,0,0,0,0,0,0,0,0,0,0,0
30,0,250.000322400697,0,0,0,0,0,0,0,0,0,0,0,0
60,0,250.000090984018,0,0,0,0,0,0,0,0,0,0,0,0
90,0,250.000018876751,0,0,0,0,0,0,0,0,0,0,0,0
120,0,235.555734399532,5.1022559490854,5.1022559490854,31.9258155486269,0,0,0.0163320070338577,0.0110193020301327,0.00367310067671089,2.93965640392976e-06,0,0,0
150,0,199.130971749473,20.4715246429976,20.4698575693067,41.7357308884066,0,0,0.0614507742977159,0.0241387736676652,0.0110729669287545,9.36167054614097e-06,0,0,0
180,0,170.790901623439,29.674686001783,29.6705291254692,51.6810733717943,0,0,0.12776164317942,0.0475845968521082,0.0290287833813955,3.03821071217372e-05,0,0,0
210,0,161.271775819649,33.7006399843059,33.6932347513116,20.8658044898816,0,0,0.223005420078337,0.0571579945587828,0.0459999782842902,8.15388901359507e-05,0,0,0
240,0,176.634514935023,26.5090895737834,26.5006655010507,11.2262974663163,0,0,0.358070388835607,0.0625629949799682,0.0583422605360129,0.000183686834496849,0,0,0
270,0,195.259503564782,19.6006851956677,19.5941571782397,5.78060253963327,0,0,0.513370743817947,0.06045295690178,0.0588653724238625,0.000339049523931721,0,0,0
300,0,211.709906159219,13.6966417922909,13.6922245267078,2.71976802195369,0,0,0.662843947705824,0.0513229163441302,0.0507424342627154,0.000520051170734782,0,0,0
330,0,224.438443830417,9.07056598688049,9.06777315913891,1.1733061650723,0,0,0.78861054471956,0.0389861741614848,0.0387910506083403,0.000693521013723518,0,0,0
360,0,233.458655998501,5.74875558326999,5.747061726873,0.469956129673355,0,0,0.88342469664336,0.0271372232765453,0.0270760534604265,0.000836166214501559,0,0,0
390,0,239.451187955364,3.52576164517101,3.52475947964526,0.177527934494814,0,0,0.949096485629577,0.0177106794945815,0.0176916682420626,0.000940672159081968,0,0,0
420,0,243.24870450325,2.11347324077399,2.11288826700749,0.0642128972523488,0,0,0.991829279087165,0.0110493052962098,0.0110428597085862,0.00101111550107187,0,0,0
450,0,245.576382459513,1.24793150742573,1.24759233762804,0.0225289827684766,0,0,1.01844697247664,0.00668931226649748,0.00668672234437974,0.00105595229838496,0,0,0
480,0,246.971263509358,0.729871036631129,0.729674994387798,0.00774454522562984,0,0,1.03454919583724,0.00397250001561001,0.00397126439349905,0.00108343019905662,0,0,0
510,0,247.794899926095,0.424391507517656,0.42427834922705,0.00262750716536402,0,0,1.04410863969491,0.00233107784760713,0.00233042030704398,0.00109986857207463,0,0,0
540,0,248.276695501462,0.245905490598901,0.245840213084928,0.00088416750055992,0,0,1.04971760827833,0.00135802327216164,0.0013576551227607,0.00110955701486075,0,0,0
570,0,248.556896358876,0.142191190453844,0.14215354382886,0.000296047576301646,0,0,1.05298521085163,0.000787748639730595,0.000787538421542567,0.00111521586739532,0,0,0
600,0,248.719281095122,0.0821206410759558,0.0820989322820956,9.88316435836118e-05,0,0,1.05488068404635,0.000455793800990071,0.000455672939996827,0.00111850338839943,0,0,0
630,0,248.813189547464,0.0473943667648996,0.0473818492017441,3.29357975745832e-05,0,0,1.05597743486279,0.000263334290484344,0.000263264651990864,0.00112040724645099,0,0,0
660,0,248.867429803257,0.0273416181746039,0.027334400606652,1.09646429724741e-05,0,0,1.05661109258428,0.000152010543956642,0.000151970394264529,0.00112150776589961,0,0,0
690,0,248.89873527146,0.0157695534910871,0.0157653919415605,3.64805583233024e-06,0,0,1.05697687808152,8.77049688932042e-05,8.76818176545087e-05,0.00112214323447307,0,0,0
720,0,248.916795891154,0.00909401127429689,0.0090916118034623,1.21332778872501e-06,0,0,1.05718792573255,5.0588283111945e-05,5.05749335357493e-05,0.00112250994204368,0,0,0
750,0,248.927212752818,0.0052439371146328,0.00524255363180414,4.03466863455027e-07,0,0,1.05730965877665,2.91745154945828e-05,2.91668179832946e-05,0.00112272148042088,0,0,0
780,0,248.933220040022,0.00302370756192753,0.00302290987793485,1.34148981398975e-07,0,0,1.05737986304876,1.68234785510147e-05,1.68190401812994e-05,0.00112284348272713,0,0,0
810,0,248.936684085395,0.0017434550257011,0.00174299510040122,4.46003122558912e-08,0,0,1.05742034640316,9.700719964446e-06,9.69816084962455e-06,0.00112291383768585,0,0,0
840,0,248.938681497834,0.00100525251202917,0.00100498733046167,1.48276284597065e-08,0,0,1.05744368985805,5.59343129635722e-06,5.59195575391436e-06,0.001122954406402,0,0,0
870,0,248.939833198983,0.00057960992230133,0.000579457025238501,4.92942025223598e-09,0,0,1.05745714969351,3.22511105361245e-06,3.22426028592464e-06,0.00112297779856816,0,0,0
900,0,248.940497255205,0.000334190638434428,0.000334102481836267,1.63875651731526e-09,0,0,1.05746491048968,1.85954392333689e-06,1.85905338981417e-06,0.00112299128632089,0,0,0
930,0,248.940880138007,0.000192686591215779,0.000192635762348777,5.44790857667601e-10,0,0,1.05746938523311,1.07217470475825e-06,1.07189187475836e-06,0.00112299906315744,0,0,0
960,0,248.941100900119,0.000111098445969466,0.000111069139331957,1.81110379356722e-10,0,0,1.05747196527828,6.18191663244589e-07,6.1802859037376e-07,0.00112300354713071,0,0,0
990,0,248.941228186481,6.4056625654338e-05,6.40397281902781e-05,6.02082221051408e-11,0,0,1.05747345287402,3.56434595162418e-07,3.5634057139506e-07,0.00112300613249137,0,0,0
