"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,250,0,0,0,0,0,0,0,0,0,0,0,0
30,0,250.000322400697,0,0,0,0,0,0,0,0,0,0,0,0
60,0,250.000090984018,0,0,0,0,0,0,0,0,0,0,0,0
90,0,250.000018876751,0,0,0,0,0,0,0,0,0,0,0,0
120,0,227.502192738374,6.69976460021056,6.69976460021056,57.5477242749479,0,0,0.0527645998934999,0.0589684564937056,0.0196561521645685,3.93516559851189e-05,0,0,0
150,0,172.434972036964,28.541630067616,28.5340711639289,78.78924773277,0,0,0.212220683545437,0.134111691128469,0.0615239179312499,0.000133645672064472,0,0,0
180,0,130.615996076734,39.6111541575488,39.5930643455997,102.836561309723,0,0,0.436643829406496,0.279975816766834,0.170801385700365,0.000473034491577851,0,0,0
210,0,113.737024304488,46.5359415529967,46.5025362504336,50.7395562992882,0,0,0.8209152873982,0.397266419721173,0.321805644457306,0.00159142633610028,0,0,0
240,0,125.981790581612,40.3636579629942,40.3214684984663,33.3066264011495,0,0,1.53700307725089,0.550875133261144,0.511768519437747,0.00476450845036962,0,0,0
270,0,145.421924946829,33.9542726085532,33.9172169128036,21.1102054838463,0,0,2.6549848604683,0.692482811896605,0.671671203893512,0.0121989521684404,0,0,0
300,0,166.065664458159,27.2196695307864,27.1911241420283,12.3469384418468,0,0,4.09878901635166,0.762176622523012,0.751432707622536,0.0254048936865655,0,0,0
330,0,185.168843448923,20.544312772555,20.5239905398284,6.57672483256609,0,0,5.71109290192777,0.734086049875313,0.728970886902133,0.04416209478816,0,0,0
360,0,201.161716569003,14.6168220065664,14.6032390226749,3.19323435049282,0,0,7.27546235989703,0.626366837448911,0.624079442464372,0.0658976238661083,0,0,0
390,0,213.459372499433,9.87338857874464,9.86474001327509,1.42642114575625,0,0,8.61622968873999,0.482404446917051,0.481394455568218,0.0870310491030219,0,0,0
420,0,222.260267067837,6.39649789809408,6.39117240713222,0.594229734461985,0,0,9.65147695045859,0.342483153026455,0.342015614219734,0.104826879207994,0,0,0
450,0,228.206723919715,4.01677651210688,4.01356366379666,0.234354128302854,0,0,10.3876067945437,0.228771813269978,0.228536605104043,0.118232487832351,0,0,0
480,0,232.053728428963,2.4678271923881,2.46591032547473,0.0887489297143744,0,0,10.8798622999483,0.146349710179228,0.146221875077789,0.127537545126079,0,0,0
510,0,234.46616925093,1.49421877037202,1.49308130932409,0.0326613486125494,0,0,11.1950311666018,0.0909217156518577,0.0908487610751222,0.133636862156159,0,0,0
540,0,235.947002873462,0.896280819104054,0.895607482187011,0.0117903316375347,0,0,11.3909632314275,0.0554188878203781,0.0553762627093097,0.137484099554137,0,0,0
570,0,236.843216832022,0.534482101673292,0.534083906148995,0.00420304732975909,0,0,11.5104487207434,0.0333740106080144,0.0333488765649712,0.139851069833683,0,0,0
600,0,237.380703134472,0.317589835346586,0.317354442467689,0.00148645854330593,0,0,11.5824310467389,0.0199489091967376,0.0199340464952728,0.14128460734009,0,0,0
630,0,237.701212718521,0.188304198029144,0.188165065359857,0.000523125489508494,0,0,11.6254686274926,0.0118702050089447,0.0118614114474192,0.142144426516799,0,0,0
660,0,237.891663030298,0.111503934955059,0.111421702416855,0.000183551380043207,0,0,11.6510816596172,0.00704385230166587,0.00703865035629688,0.142657096412147,0,0,0
690,0,238.004587425979,0.0659758104174225,0.0659272087246137,6.42872747284178e-05,0,0,11.6662822599779,0.004173040732379,0.00416996428149088,0.142961690848671,0,0,0
720,0,238.071457138157,0.0390193382572847,0.0389906134504776,2.24917360261641e-05,0,0,11.6752882841266,0.00246986184149136,0.00246804282588612,0.14314227553878,0,0,0
750,0,238.111024088807,0.0230704931457099,0.0230535160882456,7.86396138296319e-06,0,0,11.6806188293845,0.00146097245904118,0.00145989709704006,0.143249202911321,0,0,0
780,0,238.134425044868,0.0136384143102308,0.013628380457054,2.74848744253546e-06,0,0,11.6837720347489,0.000863898805443321,0.000863263139502494,0.143312468806701,0,0,0
810,0,238.148261166324,0.00806175283603779,0.00805582258371804,9.60390260560928e-07,0,0,11.6856366098715,0.000510735216678124,0.000510359486674032,0.143349884729952,0,0,0
840,0,238.156440609488,0.00476508436200678,0.00476157943725014,3.35539369599151e-07,0,0,11.686738953206,0.000301909466626303,0.000301687388286526,0.143372006935914,0,0,0
870,0,238.161275546209,0.0028164187839875,0.00281434728705376,1.17220820591911e-07,0,0,11.6873905819447,0.000178454253742178,0.000178322995510915,0.143385084668305,0,0,0
900,0,238.164133352521,0.00166462078309534,0.00166339647721522,4.09492214259882e-08,0,0,11.6877757514039,0.000105477273941821,0.000105399695520336,0.143392814966957,0,0,0
930,0,238.1658224704,0.000983848741475558,0.000983125146398026,1.43045595541275e-08,0,0,11.6880034103343,6.23419154527162e-05,6.22960641382877e-05,0.143397384126652,0,0,0
960,0,238.166820810132,0.000581484799352078,0.000581057136735069,4.99684879577467e-09,0,0,11.6881379673797,3.68463975845571e-05,3.68192981304204e-05,0.14340008473965,0,0,0
990,0,238.16741086387,0.000343673963010608,0.000343421203803189,1.74547532985274e-09,0,0,11.6882174956678,2.1777407173968e-05,2.17613906579308e-05,0.143401680913041,0,0,0
