"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,250,0,0,0,0,0,0,0,0,0,0,0,0
30,0,250.000322400697,0,0,0,0,0,0,0,0,0,0,0,0
60,0,250.000090984018,0,0,0,0,0,0,0,0,0,0,0,0
90,0,250.000018876751,0,0,0,0,0,0,0,0,0,0,0,0
120,0,211.556292835228,8.34117040268668,8.34117040268668,123.084581278746,0,0,0.0640558329490693,0.141928302563538,0.0473094341878461,9.47135819576418e-05,0,0,0
150,0,126.40353169968,38.2100885393077,38.1976254378121,174.985408266548,0,0,0.27670005602384,0.33453415725778,0.15284816535685,0.000344815725981409,0,0,0
180,0,70.7043270787611,45.0743766498589,45.0489327179898,235.98299864814,0,0,0.510813589688149,0.720654306568655,0.434939124168055,0.00129220520841388,0,0,0
210,0,48.1610464644165,51.6577140793715,51.6114609736871,136.912654365368,0,0,1.01824498370343,1.29056647571511,1.05869521584411,0.0060474088633267,0,0,0
240,0,48.4228996353068,47.6600612648115,47.5950968618103,107.286505139524,0,0,2.33326361997248,2.44175089143571,2.27689801917859,0.0285358788599431,0,0,0
270,0,54.6580731849709,45.2099351424994,45.144365110106,86.6028929735438,0,0,5.47480760879674,4.72822369193823,4.60151221140955,0.136194138174398,0,0,0
300,0,61.685291756769,42.2334659304304,42.1737033093736,67.9461674658702,0,0,11.4639793420632,8.21097928642211,8.11164663936437,0.532506129133816,0,0,0
330,0,67.4542201087766,37.5988658335303,37.5479178323582,49.9863401870859,0,0,21.2547581147941,12.4717852218365,12.3959301304891,1.67789650122348,0,0,0
360,0,70.6905431895476,31.7207623691389,31.6800946480206,34.3596329549587,0,0,34.4838444607283,16.4204138885373,16.3633980528126,4.22384224974031,0,0,0
390,0,71.212540868811,25.5736172423949,25.5428876232683,22.3332339458416,0,0,49.4605825620598,18.9908020711066,18.9478687504503,8.62981933695468,0,0,0
420,0,69.672002009336,20.0235877438382,20.001162770076,14.0214384028647,0,0,64.050593888716,19.7936912509027,19.7609147071168,14.7837366944136,0,0,0
450,0,66.9874909729467,15.4761777374553,15.4600304028869,8.68846449925158,0,0,76.7519391630047,19.1328708898123,19.1074435540275,22.0575332525492,0,0,0
480,0,63.9058611623305,11.9512042102495,11.9395380199433,5.40110289275542,0,0,87.0108071959893,17.5842621668477,17.5642628092127,29.6869996858263,0,0,0
510,0,60.8806915666857,9.28744743219081,9.27890569949721,3.40084621682301,0,0,94.9399924439629,15.6539128268769,15.6380054209571,37.0728272120369,0,0,0
540,0,58.1282671649207,7.28736608381041,7.2810007519599,2.17813766469674,0,0,100.936771774267,13.6687567103035,13.6559828049398,43.8650293096646,0,0,0
570,0,55.7211178512588,5.77908104705974,5.77424967649804,1.42012744904795,0,0,105.43939445743,11.8009014475955,11.7905567324172,49.9157488975094,0,0,0
600,0,53.6590469142001,4.63060589817481,4.62687498134855,0.941660020707846,0,0,108.825051724001,10.1232091932444,10.1147678855818,55.203111748178,0,0,0
630,0,51.9109145182645,3.74571139168869,3.74278550202683,0.633934923606962,0,0,111.386844068183,8.65421519141672,8.64728015025647,59.7709375314879,0,0,0
660,0,50.4359381459186,3.05553727074538,3.05321171106704,0.432469201898301,0,0,113.342203365554,7.38604850034219,7.38031657854779,63.6911751066057,0,0,0
690,0,49.1934137509178,2.51091153045885,2.50904172069857,0.298423160351499,0,0,114.849291352366,6.29975536158189,6.29499275940448,67.0433600377951,0,0,0
720,0,48.1465726341612,2.07649631542722,2.07497811834869,0.207950582357818,0,0,116.022504951286,5.37307393692869,5.36909848546439,69.904475259234,0,0,0
750,0,47.2636885331139,1.72662474652876,1.7253817280576,0.146120418610352,0,0,116.944739605301,4.58410105322687,4.58076939376252,72.3445601255801,0,0,0
780,0,46.5179949029342,1.44241910209166,1.44139416612287,0.103405828325699,0,0,117.67642149775,3.91284245358457,3.91004069619875,74.425293110998,0,0,0
810,0,45.8871526813399,1.20981093389558,1.2089607364025,0.0736210213080777,0,0,118.261957212487,3.34171825567564,3.33935511835778,76.2000173615971,0,0,0
840,0,45.3526024871112,1.01817769856158,1.01746885073452,0.0526853643465583,0,0,118.734283488671,2.85557855496424,2.85358027877652,77.7144023144734,0,0,0
870,0,44.8989413080944,0.859396910216943,0.858803351466745,0.0378684510936822,0,0,119.118068657827,2.44150904312283,2.4398155866942,79.0073317317437,0,0,0
900,0,44.5133741885644,0.727183275837075,0.726684424677815,0.0273201526464602,0,0,119.431971439704,2.08856396227492,2.08712612481334,80.111819408376,0,0,0
930,0,44.1852518179061,0.616618805459674,0.61619823637784,0.0197727973476885,0,0,119.690243579747,1.78749102663489,1.78626825067611,81.0558632537337,0,0,0
960,0,43.9056887173293,0.52381570187182,0.523460183727163,0.0143492771057267,0,0,119.903875118044,1.53047642500642,1.52943510141791,81.8632038533405,0,0,0
990,0,43.6672511990633,0.445671567195979,0.445370354058646,0.0104375080087315,0,0,120.081419402221,1.31092005437851,1.31003220207336,82.5539806655551,0,0,0
