"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,250,0,0,0,0,0,0,0,0,0,0,0,0
30,0,250.000322400697,0,0,0,0,0,0,0,0,0,0,0,0
60,0,250.000090984018,0,0,0,0,0,0,0,0,0,0,0,0
90,0,250.000018876751,0,0,0,0,0,0,0,0,0,0,0,0
120,0,211.626965333083,8.35418118514485,8.35418118514485,123.202606592866,0,0,0.00640996630195117,0.01421546656699,0.00473848885566333,9.47792550387214e-07,0,0,0
150,0,126.57866672483,38.301742199274,38.3004905807704,175.316322672496,0,0,0.0277241021563064,0.033542912426293,0.0153284797714273,3.45501588145787e-06,0,0,0
180,0,70.991485083665,45.2983986644326,45.2958354947199,236.902313917782,0,0,0.0513455195367534,0.0724652872806064,0.0437606775901035,1.29950929906252e-05,0,0,0
210,0,36.3019986772303,40.8430676488772,40.83992317783,301.763677282835,0,0,0.0738796417554039,0.1457486846892,0.105369368572677,4.55274727738142e-05,0,0,0
240,0,16.0271503759389,30.5252804124099,30.5224250590304,362.364470823667,0,0,0.0927940087015215,0.282173356286972,0.229855028575265,0.000152495820045698,0,0,0
270,0,5.74284463484352,18.5957166119626,18.5937340628002,410.300666555926,0,0,0.103108533032901,0.532897195139739,0.470205480532939,0.000503728982365632,0,0,0
300,0,1.55302067429869,8.78751778786839,8.78649673348258,439.23854271365,0,0,0.0978755338217799,0.974903784853864,0.905188626557191,0.00163684467032794,0,0,0
330,0,0.296859379861935,3.04319557472326,3.04282293917286,449.587456413374,0,0,0.0737579479894379,1.68342110519652,1.61052490193458,0.00500984533067901,0,0,0
360,0,0.040326176115911,0.782495325945802,0.782396545831616,448.951805495205,0,0,0.0411935002540284,2.6934960410845,2.62002338671032,0.0136806111853372,0,0,0
390,0,0.00430656355304501,0.178895903370771,0.17887290636119,444.896232446337,0,0,0.0173893381571931,4.06357845683471,3.99055560821569,0.033032567983605,0,0,0
420,0,0.000400149286530771,0.0447167756447042,0.0447109781625204,439.581843572364,0,0,0.00629956645874472,5.94168658813917,5.86952285792403,0.0731654748868524,0,0,0
450,0,3.44035172131544e-05,0.0125768910833409,0.0125752581986389,432.492363818646,0,0,0.00227211944505753,8.51259141163954,8.44167267377268,0.153887327182946,0,0,0
480,0,2.85463843256579e-06,0.00390167218594829,0.00390116716233137,423.021849470369,0,0,0.000881964835696864,11.9351101235564,11.8658956519678,0.310369210733455,0,0,0
510,0,2.73465229802908e-07,0.00212853887228687,0.00212824206345389,232.255012759586,0,0,0.000669486985487,27.1591656589383,27.1102929175071,1.35308013537858,0,0,0
540,0,4.58551948049201e-08,0.00146992006139613,0.00146965750764056,145.261464349202,0,0,0.000829578208335795,42.0307012761368,41.9966021713698,6.16577104325506,0,0,0
570,0,1.87375800662922e-08,0.000875418999292547,0.000875259718354461,86.7890528099445,0,0,0.00128372191726832,63.2548022704933,63.2294813812868,21.9483034495962,0,0,0
600,0,1.10270476942466e-08,0.00054496964011808,0.000544875900093193,54.0203609033996,0,0,0.00143273588457252,71.1024681250613,71.0833573972207,47.5444173804628,0,0,0
630,0,7.06399912454933e-09,0.000349882553351983,0.000349827720353313,34.6733698481752,0,0,0.00142429445414701,70.5639460985861,70.5493620802199,72.6901604242461,0,0,0
660,0,4.63677089700919e-09,0.00022977342683968,0.00022974067331473,22.7672099266638,0,0,0.0013264644131636,65.7311376901269,65.7198881925945,95.9064546729426,0,0,0
690,0,3.2089491833932e-09,0.000158989764195569,0.000158969046762436,15.7525585396731,0,0,0.00121024691913152,59.9626163412697,59.9537136159194,115.021922111421,0,0,0
720,0,2.31271325290491e-09,0.000114575843000921,0.000114562075988104,11.3509050109825,0,0,0.00109678356132366,54.335926990325,54.3287210664522,130.782228566537,0,0,0
750,0,1.72953215110181e-09,8.56751881707837e-05,8.56656130812628e-05,8.48700880377563,0,0,0.000994975071980711,49.2872413206499,49.2812859587912,143.701453835649,0,0,0
780,0,1.33350080403599e-09,6.60507277605701e-05,6.60438088264683e-05,6.54240340309789,0,0,0.000906027683772217,44.8767236679804,44.8717129026387,154.382912639182,0,0,0
810,0,1.05481804991092e-09,5.22419793534167e-05,5.22368163691245e-05,5.17415938220539,0,0,0.000829049839158622,41.0599127166033,41.0556313842555,163.29700080476,0,0,0
840,0,8.52490296798052e-10,4.22172168217631e-05,4.22132586771434e-05,4.1809021883408,0,0,0.000762465893374873,37.7585931769863,37.7548865783449,170.813554548871,0,0,0
870,0,7.01612339872503e-10,3.47420643560249e-05,3.47389597332819e-05,3.44029888648921,0,0,0.000704685288393163,34.8938427844894,34.8905971631616,177.215481170802,0,0,0
900,0,5.86471815348531e-10,2.90378153575313e-05,2.90353322515241e-05,2.87517670773199,0,0,0.00065429352049699,32.3954922696475,32.3926222430753,182.719806400502,0,0,0
930,0,4.96827449949372e-10,2.45969284978855e-05,2.45949088725239e-05,2.43523820862191,0,0,0.000610096520763584,30.204315830628,30.2017561069517,187.493866199213,0,0,0
960,0,4.25804535685739e-10,2.10787168361872e-05,2.1077050079078e-05,2.08672221118246,0,0,0.000571107179635495,28.2713573063931,28.2690571128609,191.667808171164,0,0,0
990,0,3.68666186110123e-10,1.82484446535626e-05,1.82470514745058e-05,1.80636771019162,0,0,0.000536515818613436,26.5564629782834,26.5543822331914,195.343830364167,0,0,0
1020,0,3.22071747180225e-10,1.59405718953443e-05,1.59393942452348e-05,1.57777107313062,0,0,0.000505659031305386,25.0267347319641,25.0248413617887,198.602981748945,0,0,0
1050,0,2.83615843536959e-10,1.40359084296876e-05,1.40349030066613e-05,1.38912188831505,0,0,0.000477991976295035,23.6551551316842,23.6534231556433,201.510168037273,0,0,0
1080,0,2.51534028532439e-10,1.24470259271646e-05,1.24461598854534e-05,1.23175722399161,0,0,0.000453065304115635,22.4194426960956,22.4178508350455,204.117856904162,0,0,0
1110,0,2.24510179421751e-10,1.11087125324764e-05,1.110796058103e-05,1.09921566891977,0,0,0.000430506508445894,21.301126800751,21.2996574508825,206.468841205757,0,0,0
1140,0,2.01547646033688e-10,9.97158726848529e-06,9.97092966824773e-06,0.986604521404953,0,0,0.000410005054663531,20.2848100317874,20.2834484964434,208.598317574025,0,0,0
1170,0,1.81881297520303e-10,8.99774136973382e-06,8.99716252509432e-06,0.890167855401246,0,0,0.000391300581250414,19.3575829995731,19.3563169065865,210.535464238028,0,0,0
1200,0,1.6491637464057e-10,8.15770808080097e-06,8.15719553193267e-06,0.80698624048429,0,0,0.000374173543968455,18.5085603346695,18.5073791889855,212.3046496858,0,0,0
1230,0,1.50185259584164e-10,7.42832041630402e-06,7.42786410702074e-06,0.734764459226786,0,0,0.000358437781317677,17.728511986732,17.7274068230126,213.926366869339,0,0,0
1260,0,1.37316440102387e-10,6.79117323607509e-06,6.79076497426613e-06,0.671679111411579,0,0,0.000343934585086348,17.0095691763294,17.0085322863749,215.417961569743,0,0,0
1290,0,1.26011911445108e-10,6.23150346516585e-06,6.23113651993783e-06,0.616267655118885,0,0,0.000330527949761462,16.3449888151769,16.3440135319814,216.794205030776,0,0,0
1320,0,1.16030506622022e-10,5.73736409248558e-06,5.73703288974326e-06,0.567346559874907,0,0,0.00031810074722887,15.7289638162081,15.728044341345,218.067747757292,0,0,0
1350,0,1.07175451018231e-10,5.2990075034804e-06,5.29870739332897e-06,0.523950203451985,0,0,0.000306551630267905,15.1564695468907,15.1556008113849,219.249481876175,0,0,0
1380,0,9.92849667510128e-11,4.90841993699235e-06,4.90814701418314e-06,0.485284743846881,0,0,0.00029579251254877,14.6231388722208,14.6223164235381,220.348832574963,0,0,0
1410,0,9.22251056368766e-11,4.55896637456988e-06,4.55871733856581e-06,0.450692934035382,0,0,0.00028574650684869,14.1251599208632,14.1243798304492,221.373994106191,0,0,0
1440,0,8.58842292143807e-11,4.24511704339914e-06,4.24488908834609e-06,0.419627023705547,0,0,0.000276346229308284,13.6591920028415,13.6584507899605,222.332122143744,0,0,0
1470,0,8.0168718909631e-11,3.96223487316568e-06,3.96202560065967e-06,0.391627700731296,0,0,0.000267532397598295,13.2222961016176,13.2215906702187,223.229491529754,0,0,0
1500,0,7.49996140498014e-11,3.70640892721159e-06,3.70621627660179e-06,0.366307588025862,0,0,0.000259252666297401,12.8118771287357,12.811204714806,224.071626394883,0,0,0
1530,0,7.030995619602e-11,3.47432283074435e-06,3.47414502304181e-06,0.34333820803512,0,0,0.000251460654696629,12.4256357201395,12.424993847557,224.863408085142,0,0,0
1560,0,6.60426758284243e-11,3.26315007128981e-06,3.26298556371773e-06,0.322439609791661,0,0,0.000244115131482241,12.0615278113503,12.0609142546668,225.609165151436,0,0,0
1590,0,6.21488988794936e-11,3.07047010124753e-06,3.07031755017776e-06,0.303372057053967,0,0,0.000237179327940148,11.7177305853264,11.7171433382382,226.312748757828,0,0,0
1620,0,5.85865807800232e-11,2.8942006673362e-06,2.894058897882e-06,0.285929324190462,0,0,0.000230620356949685,11.3926136657706,11.3920509142811,226.977596171218,0,0,0
1650,0,5.53193978405293e-11,2.73254288971874e-06,2.73241087064592e-06,0.26993325526988,0,0,0.000224408719454952,11.0847146478633,11.0841747473372,227.60678445765,0,0,0
1680,0,5.23158422118589e-11,2.58393642728185e-06,2.58381325019668e-06,0.255229322446945,0,0,0.00021851788359241,10.7927182314909,10.7921996869541,228.203076091176,0,0,0
1710,0,4.95484789408635e-11,2.44702267363741e-06,2.44690753563415e-06,0.241682979987063,0,0,0.000212923924422847,10.515438359373,10.5149398085296,228.768957852082,0,0,0
1740,0,4.69933328818734e-11,2.32061438649771e-06,2.32050657562065e-06,0.229176655663823,0,0,0.000207605214423414,10.2518028719607,10.2513230704992,229.306674131481,0,0,0
1770,0,4.4629380241931e-11,2.20367050077579e-06,2.20356938378358e-06,0.21760725571514,0,0,0.000202542156663476,10.000840278654,10.000378087485,229.818255552969,0,0,0
1800,0,4.24381249024502e-11,2.09527514157655e-06,2.09518015359925e-06,0.206884085881813,0,0,0.000197716954010299,9.76166831540739,9.76122268954383,230.305543657458,0,0,0
1830,0,4.04032437893487e-11,1.99462005784673e-06,1.99453069360649e-06,0.196927111324981,0,0,0.000193113408859951,9.53348401579022,9.53305399462456,230.77021226519,0,0,0
1860,0,3.85102887629014e-11,1.90098985596368e-06,1.90090566229335e-06,0.187665493924537,0,0,0.0001887167488215,9.31555506881256,9.31513976759021,231.213786022451,0,0,0
1890,0,3.67464349924626e-11,1.81374953610724e-06,1.81367010555092e-06,0.179036357703424,0,0,0.000184513474542699,9.10721227451971,9.10681087683856,231.637656554291,0,0,0
1920,0,3.51002677367822e-11,1.73233393114992e-06,1.73225889646932e-06,0.17098374272259,0,0,0.000180491226487326,8.9078429391974,8.9074546903912,232.043096574315,0,0,0
1950,0,3.35616009927375e-11,1.65623872420398e-06,1.65616775364624e-06,0.163457715361329,0,0,0.000176638667985254,8.71688507736373,8.71650927864923,232.431272245299,0,0,0
1980,0,3.21213226978919e-11,1.58501278153713e-06,1.58494557474504e-06,0.156413608899069,0,0,0.000172945382297677,8.53382230861433,8.53345831190039,232.803254037281,0,0,0
