"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,211.074940123261,0,0,0,0,0,0,0,0,0,0,0,0
60,0,243.553237066239,0,0,0,0,0,0,0,0,0,0,0,0
90,0,248.585967990154,0,0,0,0,0,0,0,0,0,0,0,0
120,0,249.28597297446,0.17665177535628,0.17665177535628,0.152076006017361,0.000215546483592748,0.000215546483592748,0.08832588767814,0.000323319725389123,0.000107773241796374,5.3886620898187e-05,0,0,0
150,0,248.886199011348,0.41485604649653,0.41461885809617,0.161415691225272,0.00040788323946179,0.000407811923399155,0.278099136164207,0.000654427622344986,0.000321366553292737,0.000150702566295821,0,0,0
180,0,248.248088156282,0.618914687911784,0.618296973592479,0.162368474490987,0.000619911974634202,0.000619742090905242,0.56380907459131,0.00117331624229957,0.000774163317692621,0.000408705992214012,0,0,0
210,0,247.980184052047,0.609374986615029,0.608681818115076,0.0103808250010538,0.000432862952515496,0.000432825699821558,0.836576802626001,0.00116716323519525,0.000994748096611313,0.000740176662837473,0,0,0
240,0,247.921286313551,0.507100013186966,0.506403986718795,0.00109704851413033,0.00026761709132715,0.000267533989057195,1.07033034588863,0.00110262330305096,0.00107612076851979,0.00116876657940645,0,0,0
270,0,247.915261526124,0.41265817943487,0.41211385759976,0.000381254520966089,0.000174079768346577,0.000173992838073151,1.25768676362751,0.00104023284396499,0.00103691334687068,0.00160309129496197,0,0,0
300,0,247.91314219814,0.336006724301725,0.335582442295841,0.000232172796493149,0.000115150361114535,0.00011506286630927,1.41133961942984,0.000950922810258363,0.000950156145013853,0.00201385888449616,0,0,0
330,0,247.912861633309,0.273516511460845,0.273185820164728,0.000152623984082456,7.62914234017061e-05,7.62168177752758e-05,1.53615544070079,0.000843632147564297,0.000843112788719807,0.00238307667397799,0,0,0
360,0,247.912775036071,0.222659353041854,0.222399849234513,0.000101071665394985,5.05616960523292e-05,5.05031319231244e-05,1.63781074223073,0.000732970418892929,0.000732494427941448,0.00270727934593059,0,0,0
390,0,247.912761658733,0.181260686285978,0.181055893053207,6.69779425103517e-05,3.35106374124219e-05,3.34669065448823e-05,1.72055107871236,0.000627312724413309,0.000626873920055122,0.00298672156945286,0,0,0
420,0,247.912758009243,0.147561319854153,0.147398882921587,4.43885716174271e-05,2.22100953139326e-05,2.21784596599609e-05,1.78790780314299,0.000530981039205138,0.000530585365911071,0.00322452123355239,0,0,0
450,0,247.912757384943,0.12012856877392,0.119999169210401,2.9418588580253e-05,1.47204956715793e-05,1.46980982323479e-05,1.84274019782951,0.000445719275197382,0.000445369629737071,0.00342493836649346,0,0,0
480,0,247.912757228861,0.0977966656989158,0.0976932036415385,1.94975492601336e-05,9.75658525396071e-06,9.74096938817792e-06,1.88737807628677,0.000371775443626028,0.000371471471396956,0.00359262247728116,0,0,0
510,0,247.91275720023,0.0796168567714218,0.0795338753755504,1.29224304628027e-05,6.4666002829161e-06,6.45583431340686e-06,1.92371721134129,0.000308573597082966,0.000308312742696277,0.00373213328278618,0,0,0
540,0,247.912757193484,0.0648169573450771,0.0647502283662216,8.56472133890841e-06,4.28604215982883e-06,4.2786821890472e-06,1.95330075804324,0.000255129541048628,0.000254907990094162,0.00384769751202548,0,0,0
570,0,247.912757192186,0.0527684571594805,0.0527146803554067,5.67657294427857e-06,2.84078713524081e-06,2.8357879435392e-06,1.97738480617403,0.000210300537200198,0.000210113911872366,0.00394309689150729,0,0,0
