"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,211.074940123261,0,0,0,0,0,0,0,0,0,0,0,0
60,0,243.553237066239,0,0,0,0,0,0,0,0,0,0,0,0
90,0,248.585967990154,0,0,0,0,0,0,0,0,0,0,0,0
120,0,249.28597297446,0.13248883151721,0.13248883151721,0.151887402844218,0.000121244897020921,0.000121244897020921,0.17665177535628,0.000484979588083684,0.000161659862694561,0.000215546483592748,0,0,0
150,0,248.886199011348,0.290015309577634,0.289861105777343,0.161024564069731,0.000212311748858461,0.000212256258555206,0.52769762540193,0.000919529738675809,0.000431334577281639,0.000557886736964082,0,0,0
180,0,248.248088156282,0.396528035535548,0.396155642432244,0.161696931473363,0.000284125567546447,0.000283985551202915,1.00833705812778,0.00145995369479416,0.00090001145289112,0.00133930636893508,0,0,0
210,0,247.980184052047,0.332464736873869,0.332067152768204,0.00980682838171969,0.000145901256477299,0.000145791138240989,1.39010171771403,0.0011096178353983,0.000894971847276354,0.00204549118892228,0,0,0
240,0,247.921286313551,0.218089446913317,0.217739052388194,0.000670001535234334,5.40955440154606e-05,5.40089264112626e-05,1.64800584649288,0.000736227299223009,0.00070599836559194,0.00275937857501587,0,0,0
270,0,247.915261526124,0.13821657130518,0.137990863329746,7.50015997927775e-05,2.09322765064567e-05,2.08876462068292e-05,1.80625136602721,0.000500079560595833,0.000496497373294841,0.00329616615678673,0,0,0
300,0,247.91314219814,0.0875254409540693,0.0873852553665321,1.8581218059926e-05,8.32113878325512e-06,8.3006126456068e-06,1.90801808970681,0.000334665008191234,0.00033396626375358,0.00367348962225173,0,0,0
330,0,247.912861633309,0.0554100444843637,0.055322922695912,6.76597146086354e-06,3.32958672598181e-06,3.32067742037745e-06,1.97212480514609,0.000219466104026403,0.000219141635113219,0.00392292986077468,0,0,0
360,0,247.912775036071,0.0350786551442075,0.0350241977399386,2.67122803779517e-06,1.33407117006803e-06,1.33032625289695e-06,2.01276709162296,0.000142023234033999,0.00014181843029332,0.00408570339634733,0,0,0
390,0,247.912761658733,0.0222077466540068,0.0221735534982513,1.06820435624754e-06,5.34673598831664e-07,5.33128346600653e-07,2.03848635789929,9.11515780264919e-05,9.10182155987251e-05,0.00419055790046205,0,0,0
420,0,247.912758009243,0.0140594922247118,0.0140379586794575,4.27992419501413e-07,2.14299818702275e-07,2.13669234913179e-07,2.05477055501456,5.82039182467215e-05,5.81176585645519e-05,0.00425768722697553,0,0,0
450,0,247.912757384943,0.00890097149332349,0.00888738437708842,1.71532913280671e-07,8.58936457162223e-08,8.56380505945303e-08,2.06507957994342,3.70476518271215e-05,3.69922713977648e-05,0.00430048146607761,0,0,0
480,0,247.912757228861,0.00563516703551139,0.00562658338346024,6.87513592357278e-08,3.44272611780191e-08,3.4324092332356e-08,2.07160619520825,2.35345279370806e-05,2.34991525947057e-05,0.00432769331296188,0,0,0
510,0,247.91275720023,0.00356760862649889,0.00356218167299868,2.75562752100636e-08,1.37989182705439e-08,1.37573833289713e-08,2.07573815318876,1.49316364639004e-05,1.49091133257266e-05,0.00434496862525812,0,0,0
540,0,247.912757193484,0.00225864650913987,0.00225521365405079,1.10449015992007e-08,5.5308041361195e-09,5.51410978911378e-09,2.07835408359135,9.46601467768697e-06,9.4517040977097e-06,0.00435592468026514,0,0,0
570,0,247.912757192186,0.00142994633662476,0.0014277741784163,4.42694710627244e-09,2.21682765729332e-09,2.210124506572e-09,2.08001022317388,5.99806189153203e-06,5.98898128142408e-06,0.00436286859153068,0,0,0
