"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,0,0,0,250,0,0,0,0,0,0,0,0,0
30,0,0,80.974714639243,80.974714639243,16.2233443330652,0,0,17.9943810309429,0,0,0,0,0,0
60,0,3.54708156354283,20.3562544956837,20.2607148683412,73.7089848100124,0,0,42.3867973062742,43.8078252934628,37.7287101659649,12.9726408317195,0,0,0
90,0,9.75342518927261,13.7102200831326,13.1585410940675,31.3690277090685,0,0,42.7353612837361,48.1263575787517,43.3152113496998,37.7799147158785,0,0,0
120,0,5.95379585142089,7.28086903113425,6.95053850711778,134.11876353295,0,0,34.5635632919584,73.0684181940632,40.9149454924497,50.6773274541032,0,0,0
150,0,2.18436203492847,5.75921995409567,5.33319568046767,156.679068526276,0,0,20.0310178213712,93.2278374773866,46.1728522039834,50.152839507342,0,0,0
180,0,0.672773269828031,3.58008162138143,3.15953598333316,164.291635480233,0,0,10.8577311110526,102.520330748416,49.5314517508831,49.7571024056443,0,0,0
210,0,0.235753760232332,2.38235696946416,2.01063231097174,54.1568889799329,0,0,7.426481300677,89.7827147045109,58.5527700318391,65.1148126337093,0,0,0
240,0,0.128127164002483,1.4016648676992,1.11302836572963,24.9374842977619,0,0,6.67298511380069,74.3421091242399,55.9206915799019,90.123746333181,0,0,0
270,0,0.0842053953504519,0.832050635458173,0.672126585763516,13.1992523146907,0,0,6.28594378248192,61.8449314003445,48.7665794702711,118.792273751886,0,0,0
300,0,0.0617413465579942,0.545946290770549,0.448641016764587,7.82178702454329,0,0,5.89777342297456,51.6655532302027,41.9075846982759,141.805803655787,0,0,0
330,0,0.0478433407539866,0.378747400439402,0.315456135775051,4.92019312649476,0,0,5.52231907895509,43.2832946907692,35.7456276934219,159.979903105592,0,0,0
360,0,0.0387606125239163,0.275519153065914,0.231824324567038,3.24400621098557,0,0,5.19012763393819,36.5134336310443,30.5404500958945,174.171638083347,0,0,0
390,0,0.032482783743441,0.207689294017418,0.176136932579168,2.21608215200787,0,0,4.90431612748139,31.0314025967351,26.2017067151866,185.413864192422,0,0,0
420,0,0.0279687237939595,0.161061718823713,0.137453735193324,1.55703320829848,0,0,4.66157485480021,26.5635368523457,22.5938096895608,194.448639207645,0,0,0
450,0,0.024612680460266,0.127770400421677,0.109599587326901,1.11888903868617,0,0,4.45574395421822,22.8882793286206,19.5813439760858,201.813367748939,0,0,0
480,0,0.0220488204221516,0.103252284012588,0.0889417111131463,0.818908427717137,0,0,4.28080140464639,19.836107086312,17.0505446752784,207.892417580156,0,0,0
510,0,0.0200452949114409,0.0847209148069823,0.0732359019732961,0.608477659028454,0,0,4.13148244316108,17.2782965954914,14.9100319775849,212.965459762724,0,0,0
540,0,0.0184496920451771,0.0704049145159714,0.0610418088573251,0.457850776403793,0,0,4.00342027812461,15.1169405155813,13.0876440687301,217.239378359963,0,0,0
570,0,0.0171584594478512,0.0591376405170747,0.051403103807642,0.348183653463677,0,0,3.89305493510688,13.2769505175834,11.5265067510757,220.86988200555,0,0,0
600,0,0.0160992170204214,0.0501270400734788,0.0436659928325964,0.267179226511299,0,0,3.79749942016243,11.7001366908249,10.1816131104046,223.976054836868,0,0,0
630,0,0.0152200968353173,0.0428209245518961,0.0373719074681338,0.206605113750647,0,0,3.71440961223117,10.3409001816065,9.01710101875514,226.65032578992,0,0,0
660,0,0.014483106466909,0.0368252647526997,0.0321918726883809,0.160826603598226,0,0,3.64187414751101,9.16311252649465,8.00416427214341,228.965408503032,0,0,0
690,0,0.0138598714021435,0.0318530418684039,0.0278851156157262,0.125911733936948,0,0,3.57832565256844,8.13784430925116,7.11946959223953,230.97921382817,0,0,0
720,0,0.0133288305466082,0.0276913178109106,0.0242722448945157,0.0990698737445542,0,0,3.52247072536194,7.24169857402763,6.34395947089277,232.738382502888,0,0,0
750,0,0.0128733444940231,0.0241794986677301,0.0212174447705039,0.0782906726840407,0,0,3.47323513798949,6.45557597977369,5.66194390933499,234.280863610072,0,0,0
780,0,0.0124803919781711,0.0211946619425862,0.0186163937439904,0.062106674170342,0,0,3.42972100501483,5.76375032067686,5.06040729092263,235.637822876713,0,0,0
810,0,0.0121396541552568,0.018641450450887,0.0163879047505889,0.0494341131662493,0,0,3.39117322330561,5.15316914652579,4.52847561107138,236.83507339042,0,0,0
840,0,0.0118428599937377,0.0164449835373636,0.0144680366182224,0.0394642294518201,0,0,3.35695305995879,4.61291923889269,4.05700375521925,237.894161271421,0,0,0
870,0,0.0115833108155874,0.0145458017090272,0.012805878533306,0.0315878654999226,0,0,3.32651725080964,4.13381403474235,3.6382532019437,238.833198830611,0,0,0
900,0,0.011355529899566,0.0128962064930645,0.0113604872024783,0.02534238927496,0,0,3.29940135879117,3.70807215659151,3.26563832132652,239.667510692216,0,0,0
930,0,0.0111550007798794,0.0114575734993657,0.0100986311044327,0.0203738355451107,0,0,3.27520643962308,3.32906466948044,2.93352510023936,240.410139810339,0,0,0
960,0,0.0109779693694757,0.0101983546348156,0.00899310826234445,0.0164095760145615,0,0,3.25358828883733,2.99111466819805,2.63707024401743,241.072247419248,0,0,0
990,0,0.01082129263042,0.00909257514539827,0.00802147714900148,0.0132383730924482,0,0,3.23424871514366,2.6893370677524,2.37209161063456,241.663431887548,0,0,0
