"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,225,0,0,25,0,0,0,0,0,0,0,0,0
30,0,226.717587129362,7.09746049539036,3.31214985215304,1.72748195117423,0.105147517867703,0,10.4096103475434,0.315442553603109,0.105147517867703,0.210295035735406,0,0,0
60,0,224.020375258877,4.44665058869907,3.03572710562717,0.135651674630404,0.0325209260805399,0.00750714491240407,17.644877158783,0.198328299133607,0.110946845914023,0.367505981360845,0,0,0
90,0,224.325087096052,2.46240594418278,1.67188759141112,0.0169190263699494,0.00851810610047131,0.00323702359216365,20.8356280956347,0.114712547575128,0.0745387325373479,0.48708471329516,0,0,0
120,0,224.235074549,1.34312969017914,0.910516879408227,0.00356252982163218,0.002392094194013,0.00104812999091547,22.8102335935882,0.0675784772658867,0.0455977298216916,0.580870297350747,0,0,0
150,0,224.248489964788,0.730306549037933,0.495757179050995,0.000964233345578484,0.00069523765959068,0.000317605929043464,23.8257414181697,0.0385048376679563,0.0261646951320432,0.633059115203475,0,0,0
180,0,224.246022932704,0.397203035041837,0.269727940226583,0.000279503107080744,0.000204682460076357,9.43923190728618e-05,24.3872411867049,0.0215051094196072,0.0146201519566308,0.663101242016677,0,0,0
210,0,224.246442131487,0.216083656658986,0.14677920624698,8.23338097612132e-05,6.04994616578731e-05,2.79488740092222e-05,24.6909158413455,0.0118679932055087,0.00806740407326482,0.679673021873529,0,0,0
240,0,224.246369075453,0.117570579040689,0.0798746449667756,2.43446815232275e-05,1.7904217193132e-05,8.27158547769742e-06,24.8564025831461,0.0065076505043707,0.00442295872207051,0.688801995478957,0,0,0
270,0,224.246381616416,0.0639755436602188,0.0434671954790612,7.20554644247492e-06,5.30079703663284e-06,2.44844449726509e-06,24.9463932315979,0.00355601793992911,0.00241662964005824,0.693794812119424,0,0,0
300,0,224.246379458913,0.0348137098366596,0.0236547500770427,2.13340370434514e-06,1.56963330308027e-06,7.24901650022943e-07,24.9953695471925,0.00193950181723704,0.00131799018535639,0.696520614385229,0,0,0
330,0,224.246379827483,0.0189451528209149,0.0128729262093066,6.31738804462971e-07,4.64822718173348e-07,2.14647553791956e-07,25.0220195798749,0.00105675852305632,0.000718099045295392,0.69800634490695,0,0,0
360,0,224.246379764544,0.010309845808335,0.00700547177659169,1.87081052018836e-07,1.37655129544846e-07,6.35633585907193e-08,25.0365224006918,0.000575469333046682,0.000391042026573789,0.698815617535731,0,0,0
390,0,224.246379775215,0.00561060416325541,0.00381239718519707,5.54033861370368e-08,4.07667185918908e-08,1.88237779735304e-08,25.0444147068423,0.000313284325412504,0.000212880512709215,0.699256236766002,0,0,0
420,0,224.246379773405,0.00305329622493874,0.00207471880605386,1.64078016848824e-08,1.20732321014733e-08,5.57464529132608e-09,25.0487096948659,0.00017052359989598,0.000115872278796532,0.699496086764585,0,0,0
450,0,224.246379773709,0.00166161062100951,0.00112906914111325,4.85924256474465e-09,3.5755572960114e-09,1.65094810132632e-09,25.0510470298472,9.28093829772965e-05,6.3064615263082e-05,0.699626632597952,0,0,0
