"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,0,0,0,250,0,0,0,0,0,0,0,0,0
30,0,92.8791825520941,25.550901549619,25.550901549619,50.2911401222011,34.0677957891358,0,5.67797812213755,11.3559319297119,3.78531064323731,0.841180142941625,0,0,0
60,0,58.3020817272712,53.4022194542314,40.0704065264286,26.8309703477463,19.4453577807563,6.77390148950676,21.6016265611043,13.8875991186992,7.36157040435411,2.32435757391998,0,0,0
90,0,56.1924402693556,57.2804015365563,33.6722751790317,18.9418199751297,13.9166322458909,6.18480546811531,32.8630611975127,16.2220596398941,10.0802801956591,4.64624316960557,0,0,0
120,0,55.3230602428262,52.9370529447183,29.6766546771532,15.5017434656813,11.0693356068269,5.25583360592887,41.8970754083375,18.5720499704346,12.2539442885847,7.69157563091594,0,0,0
150,0,55.2239326506809,47.8162523581216,26.8573134048683,12.6547840810332,9.02763579097893,4.27999550579519,49.8989468462839,20.0513146239788,13.3889893955298,11.0205757797938,0,0,0
180,0,55.0575580605783,43.0579514475499,24.4450982768387,10.358016996137,7.43745918530379,3.46717494315862,57.0557562662935,20.8720132037787,13.9392637423779,14.5379466536757,0,0,0
210,0,54.9978000456953,38.6962524791089,22.2872413748682,8.31859062585773,6.09476281611036,2.8124796577177,63.5566104752451,21.0694533961201,14.0857749756459,18.1327698655848,0,0,0
240,0,54.9838898982552,34.797080410629,20.2786829904613,6.75976486652238,4.99104233460284,2.2755565320593,69.447622651619,20.8465244402337,13.9106345842624,21.7198845459769,0,0,0
270,0,54.9825138139421,31.3130069764403,18.4452659276873,5.50230207152151,4.08682838092917,1.84369112675525,74.7612430419722,20.3160232647576,13.5241933122921,25.2271846588799,0,0,0
300,0,54.9820118598824,28.1983379723827,16.7713733160806,4.48358034977424,3.346648135495,1.4963222150415,79.5489203136063,19.568628127383,12.9953187235923,28.609333117674,0,0,0
330,0,54.981946964458,25.4098677648596,15.2438262478911,3.65665374273298,2.74077730089587,1.21616176229916,83.8647544267065,18.6748591281028,12.3735431960006,31.8377092608312,0,0,0
360,0,54.9819265060668,22.9103510818856,13.8510177792789,2.98454443370018,2.24488281374886,0.98970589778271,87.7570399801915,17.6895274422228,11.6961648357648,34.8948602346688,0,0,0
390,0,54.9819233930764,20.6673806444157,12.5820135898878,2.43763681584362,1.83899648596285,0.806299192361422,91.2690064212896,16.6544228260623,10.9908886644086,37.7714363879808,0,0,0
420,0,54.9819225330058,18.6526525574436,11.4265537146667,1.99215783402633,1.5067528070078,0.657506689643197,94.4391926328593,15.6010351368664,10.2781799033035,40.4640471217899,0,0,0
450,0,54.9819223872434,16.8413528601992,10.3750530908773,1.62897130763748,1.234752921117,0.536618690981498,97.3019925900497,14.5527522532841,9.57295087095832,42.9736332235315,0,0,0
480,0,54.9819223505243,15.2116576640997,9.41860424670892,1.33263978910289,1.01203516220007,0.438276846876169,99.888136552933,13.5266247788768,8.88586447103215,45.3042381788757,0,0,0
510,0,54.9819223438265,13.7443188423749,8.54896330898876,1.09068537670728,0.829635673070539,0.358187271216253,102.225116296226,12.5347670649018,8.22433332017316,47.462070511193,0,0,0
540,0,54.9819223422414,12.4223173177578,7.75852547230061,0.893005030914808,0.680225814337194,0.292898879630403,104.337555654108,11.5854675979701,7.59329067796231,49.4547912146038,0,0,0
570,0,54.9819223419375,11.2305708250389,7.04029376456943,0.731406143854027,0.557814110176846,0.239630835688576,106.247533853842,10.6840673021668,6.99578673826259,51.290974084848,0,0,0
