"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,175,0,0,75,0,0,0,0,0,0,0,0,0
30,0,185.199197444342,35.0141416858675,17.3493586840934,8.65231394315689,3.78531064323732,0,0,0,0,0,0,0,0
60,0,176.600887008239,39.7166176003595,26.5852605596798,3.67117599486978,2.50026001595573,0.925889804914256,0,0,0,0,0,0,0
90,0,177.171339481294,40.7262549654695,25.7912780349373,3.06506796417203,2.23425595333875,1.01182247753939,0,0,0,0,0,0,0
120,0,176.615744414139,41.1471427147118,25.8956105316419,3.22848803899656,2.24333985603778,1.04800028588011,0,0,0,0,0,0,0
150,0,176.201043471983,41.4258955105899,25.983209295343,3.27415493486299,2.27434616251681,1.061091061769,0,0,0,0,0,0,0
180,0,175.707999850052,41.7205228372923,26.0937838240555,3.31965341148805,2.31194680095758,1.07433205184722,0,0,0,0,0,0,0
210,0,175.51218755827,41.7523632269386,26.2000665233092,3.1874607941137,2.3143086062169,1.08534900310586,0,0,0,0,0,0,0
240,0,175.468774569951,41.7595900203879,26.2012388601338,3.18030165422235,2.31456379151276,1.08621435841469,0,0,0,0,0,0,0
270,0,175.464220522745,41.7578633070191,26.200047680088,3.1796103047698,2.31427865204892,1.08623210850637,0,0,0,0,0,0,0
300,0,175.462646903979,41.7577558145501,26.1999628306605,3.1795994030741,2.31426167097069,1.08624750767777,0,0,0,0,0,0,0
330,0,175.462434992158,41.7576771222434,26.1999005313579,3.17958834464195,2.31425385491017,1.08624494946616,0,0,0,0,0,0,0
360,0,175.462370525336,41.7576680590735,26.1998956755184,3.17958826560192,2.31425338972356,1.08624509005792,0,0,0,0,0,0,0
390,0,175.462360451496,41.7576646549716,26.1998933155059,3.17958790111222,2.3142531277243,1.08624497047895,0,0,0,0,0,0,0
420,0,175.462357730366,41.7576642017844,26.1998930388896,3.17958788314853,2.314253110918,1.086244965506,0,0,0,0,0,0,0
450,0,175.462357261224,41.7576640556497,26.1998929478054,3.17958786956188,2.31425310061151,1.08624496102664,0,0,0,0,0,0,0
480,0,175.46235714471,41.7576640342507,26.1998929335965,3.17958786831171,2.31425309979061,1.0862449605699,0,0,0,0,0,0,0
510,0,175.462357123225,41.757664028011,26.1998929298909,3.17958786778057,2.31425309937258,1.08624496039878,0,0,0,0,0,0,0
540,0,175.462357118184,41.7576640270117,26.1998929292143,3.17958786771301,2.3142530993298,1.08624496037358,0,0,0,0,0,0,0
570,0,175.462357117211,41.7576640267451,26.1998929290572,3.17958786769143,2.31425309931276,1.08624496036666,0,0,0,0,0,0,0
600,0,175.462357116992,41.7576640266989,26.1998929290263,3.1795878676881,2.31425309931059,1.08624496036544,0,0,0,0,0,0,0
630,0,175.462357116948,41.7576640266875,26.1998929290194,3.1795878676872,2.31425309930989,1.08624496036514,0,0,0,0,0,0,0
660,0,175.462357116938,41.7576640266853,26.1998929290181,3.17958786768705,2.31425309930978,1.08624496036509,0,0,0,0,0,0,0
690,0,175.462357116937,41.7576640266848,26.1998929290178,3.17958786768701,2.31425309930975,1.08624496036507,0,0,0,0,0,0,0
720,0,175.462357116936,41.7576640266848,26.1998929290177,3.179587867687,2.31425309930975,1.08624496036507,0,0,0,0,0,0,0
750,0,175.462357116936,41.7576640266848,26.1998929290177,3.179587867687,2.31425309930975,1.08624496036507,0,0,0,0,0,0,0
780,0,175.462357116936,41.7576640266848,26.1998929290177,3.179587867687,2.31425309930975,1.08624496036507,0,0,0,0,0,0,0
810,0,175.462357116936,41.7576640266848,26.1998929290177,3.179587867687,2.31425309930975,1.08624496036507,0,0,0,0,0,0,0
840,0,175.462357116936,41.7576640266848,26.1998929290177,3.179587867687,2.31425309930975,1.08624496036507,0,0,0,0,0,0,0
870,0,175.462357116936,41.7576640266848,26.1998929290177,3.179587867687,2.31425309930975,1.08624496036507,0,0,0,0,0,0,0
900,0,175.462357116936,41.7576640266848,26.1998929290177,3.179587867687,2.31425309930975,1.08624496036507,0,0,0,0,0,0,0
930,0,175.462357116936,41.7576640266848,26.1998929290177,3.179587867687,2.31425309930975,1.08624496036507,0,0,0,0,0,0,0
960,0,175.462357116936,41.7576640266848,26.1998929290177,3.179587867687,2.31425309930975,1.08624496036507,0,0,0,0,0,0,0
990,0,175.462357116936,41.7576640266848,26.1998929290177,3.179587867687,2.31425309930975,1.08624496036507,0,0,0,0,0,0,0
