"Time","ZW","ZZ","MaZ","MbZ","MaMb","MaMa","MbMb","RZ","MaR","MbR","RR","MaW","MbW","RW"
0,0,0,0,0,250,0,0,0,0,0,0,0,0,0
30,0,92.8791825520941,28.3898906106877,28.3898906106877,58.2823514801465,42.0590071470813,0,0,0,0,0,0,0,0
60,0,58.3020817272712,66.6891832992411,48.3850692425232,38.4992081767338,27.9053127417509,10.2192357964978,0,0,0,0,0,0,0
90,0,56.1924402693556,79.4656113170213,44.3501265960794,33.9432207774368,24.7629812709081,11.2856386459498,0,0,0,0,0,0,0
120,0,55.3230602428262,81.8838513316161,42.6269316985929,34.3521409502622,24.0376583527911,11.954683265319,0,0,0,0,0,0,0
150,0,55.2239326506809,82.400758130213,42.1717544790608,34.4856837503247,23.8435829894762,12.0940284373087,0,0,0,0,0,0,0
180,0,55.0575580605783,82.5277214310159,42.0310845596663,34.5948780192265,23.8770890470879,12.1399076581173,0,0,0,0,0,0,0
210,0,54.9978000456953,82.5257238638483,42.0143804653738,34.4898460133126,23.8519003235136,12.1720850002104,0,0,0,0,0,0,0
240,0,54.9838898982552,82.5271088175134,41.996277235196,34.4844910325087,23.8439795813584,12.1749366897904,0,0,0,0,0,0,0
270,0,54.9825138139421,82.5271510898409,41.9923648562589,34.483324291842,23.8417449619324,12.1751535613611,0,0,0,0,0,0,0
300,0,54.9820118598824,82.5271779951339,41.9914536069357,34.4832979640483,23.841284183932,12.1752485209798,0,0,0,0,0,0,0
330,0,54.981946964458,82.5271804715014,41.9912679679558,34.4832701590874,23.8411752765308,12.1752589552443,0,0,0,0,0,0,0
360,0,54.9819265060667,82.527181271557,41.991227569799,34.483268123451,23.8411553722013,12.1752621622357,0,0,0,0,0,0,0
390,0,54.9819233930763,82.5271812711008,41.9912193844923,34.4832671477142,23.8411505143797,12.1752627105259,0,0,0,0,0,0,0
420,0,54.9819225330058,82.5271812919862,41.9912176129834,34.4832670257122,23.8411496327505,12.1752628341744,0,0,0,0,0,0,0
450,0,54.9819223872434,82.5271812883875,41.9912172527387,34.4832669856397,23.8411494230208,12.1752628588494,0,0,0,0,0,0,0
480,0,54.9819223505243,82.5271812884233,41.9912171753184,34.4832669794655,23.8411493834689,12.1752628640293,0,0,0,0,0,0,0
510,0,54.9819223438265,82.5271812881388,41.9912171594509,34.4832669777348,23.8411493744395,12.1752628650878,0,0,0,0,0,0,0
540,0,54.9819223422414,82.5271812880994,41.9912171560674,34.4832669774369,23.8411493726728,12.1752628653088,0,0,0,0,0,0,0
570,0,54.9819223419374,82.5271812880813,41.9912171553691,34.483266977361,23.841149372282,12.1752628653539,0,0,0,0,0,0,0
600,0,54.9819223418685,82.5271812880778,41.991217155221,34.4832669773469,23.8411493722036,12.1752628653634,0,0,0,0,0,0,0
630,0,54.9819223418548,82.5271812880767,41.9912171551903,34.4832669773435,23.8411493721866,12.1752628653653,0,0,0,0,0,0,0
660,0,54.9819223418517,82.5271812880766,41.9912171551838,34.4832669773429,23.8411493721831,12.1752628653657,0,0,0,0,0,0,0
690,0,54.9819223418511,82.5271812880765,41.9912171551825,34.4832669773427,23.8411493721824,12.1752628653658,0,0,0,0,0,0,0
720,0,54.981922341851,82.5271812880765,41.9912171551822,34.4832669773427,23.8411493721822,12.1752628653658,0,0,0,0,0,0,0
750,0,54.981922341851,82.5271812880765,41.9912171551821,34.4832669773427,23.8411493721822,12.1752628653658,0,0,0,0,0,0,0
780,0,54.981922341851,82.5271812880765,41.9912171551821,34.4832669773427,23.8411493721822,12.1752628653658,0,0,0,0,0,0,0
810,0,54.981922341851,82.5271812880765,41.9912171551821,34.4832669773427,23.8411493721822,12.1752628653658,0,0,0,0,0,0,0
840,0,54.981922341851,82.5271812880765,41.9912171551821,34.4832669773427,23.8411493721822,12.1752628653658,0,0,0,0,0,0,0
870,0,54.981922341851,82.5271812880765,41.9912171551821,34.4832669773427,23.8411493721822,12.1752628653658,0,0,0,0,0,0,0
900,0,54.981922341851,82.5271812880765,41.9912171551821,34.4832669773427,23.8411493721822,12.1752628653658,0,0,0,0,0,0,0
930,0,54.981922341851,82.5271812880765,41.9912171551821,34.4832669773427,23.8411493721822,12.1752628653658,0,0,0,0,0,0,0
960,0,54.981922341851,82.5271812880765,41.9912171551821,34.4832669773427,23.8411493721822,12.1752628653658,0,0,0,0,0,0,0
990,0,54.981922341851,82.5271812880765,41.9912171551821,34.4832669773427,23.8411493721822,12.1752628653658,0,0,0,0,0,0,0
